language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.7139722019019751,0.7427701674277016,0.6873239436619718,0.7938975430912921,0.0872093023255814
en,fold_2,raw_text,0.716679968076616,0.7597292724196277,0.6782477341389728,0.7981307954759529,0.12280701754385964
en,fold_3,raw_text,0.6867565424266455,0.71334431630972,0.6620795107033639,0.781039755351682,0.1111111111111111
fr,fold_1,raw_text,0.5380710659898478,0.6127167630057804,0.4796380090497738,0.695681982126995,0.05714285714285714
fr,fold_2,raw_text,0.5631578947368421,0.6257309941520468,0.5119617224880383,0.7144763216850049,0.12857142857142856
fr,fold_3,raw_text,0.6093366093366092,0.6019417475728155,0.6169154228855721,0.7567553154780949,0.04225352112676056
ge,fold_1,raw_text,0.6626016260162602,0.6707818930041153,0.6546184738955824,0.7579851468264742,0.0847457627118644
ge,fold_2,raw_text,0.650103519668737,0.6796536796536796,0.623015873015873,0.7470480061943476,0.05084745762711865
ge,fold_3,raw_text,0.6231155778894473,0.5653495440729484,0.6940298507462687,0.7155811018437225,0.017241379310344827
it,fold_1,raw_text,0.6044568245125348,0.6656441717791411,0.5535714285714286,0.723458904109589,0.09900990099009901
it,fold_2,raw_text,0.5672043010752689,0.596045197740113,0.541025641025641,0.7006886017628204,0.0594059405940594
it,fold_3,raw_text,0.5976714100905562,0.5804020100502513,0.616,0.7276342637151108,0.04950495049504951
po,fold_1,raw_text,0.6513911620294599,0.6357827476038339,0.6677852348993288,0.7407553625477036,0.07692307692307693
po,fold_2,raw_text,0.6768802228412256,0.6136363636363636,0.7546583850931677,0.7472271517302573,0.06153846153846154
po,fold_3,raw_text,0.6934404283801874,0.6410891089108911,0.7551020408163265,0.7464479462671144,0.046875
ru,fold_1,raw_text,0.5474452554744526,0.6756756756756757,0.4601226993865031,0.7050265791786479,0.20634920634920634
ru,fold_2,raw_text,0.5087108013937283,0.584,0.4506172839506173,0.689886298651058,0.140625
ru,fold_3,raw_text,0.5442622950819672,0.515527950310559,0.5763888888888888,0.7363327423167848,0.078125
