language,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,EleutherAI-gpt-neo-1.3B,0.55 $\pm$ 0.01,0.60 $\pm$ 0.01,0.62 $\pm$ 0.02,0.60 $\pm$ 0.02,0.59 $\pm$ 0.03,0.61 $\pm$ 0.01
en,EleutherAI-gpt-neo-125M,0.49 $\pm$ 0.03,0.54 $\pm$ 0.01,0.55 $\pm$ 0.03,0.55 $\pm$ 0.00,0.56 $\pm$ 0.02,0.58 $\pm$ 0.03
en,bert-base-multilingual-cased,0.58 $\pm$ 0.01,0.63 $\pm$ 0.03,0.64 $\pm$ 0.02,0.65 $\pm$ 0.01,0.63 $\pm$ 0.03,0.63 $\pm$ 0.03
en,distilbert-base-multilingual-cased,0.56 $\pm$ 0.03,0.59 $\pm$ 0.02,0.62 $\pm$ 0.02,0.63 $\pm$ 0.03,0.59 $\pm$ 0.00,0.61 $\pm$ 0.01
en,facebook-mbart-large-50,0.60 $\pm$ 0.03,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.66 $\pm$ 0.01,0.65 $\pm$ 0.03,0.63 $\pm$ 0.02
en,gpt2,0.59 $\pm$ 0.01,0.64 $\pm$ 0.03,0.65 $\pm$ 0.02,**0.67 $\pm$ 0.04**,0.63 $\pm$ 0.04,0.63 $\pm$ 0.03
en,xlm-roberta-large,0.60 $\pm$ 0.01,0.66 $\pm$ 0.01,0.66 $\pm$ 0.02,**0.67 $\pm$ 0.01**,0.66 $\pm$ 0.02,0.65 $\pm$ 0.01
fr,EleutherAI-gpt-neo-1.3B,0.32 $\pm$ 0.05,0.37 $\pm$ 0.01,0.45 $\pm$ 0.04,0.42 $\pm$ 0.03,0.43 $\pm$ 0.05,0.46 $\pm$ 0.06
fr,EleutherAI-gpt-neo-125M,0.24 $\pm$ 0.01,0.32 $\pm$ 0.04,0.32 $\pm$ 0.04,0.31 $\pm$ 0.03,0.35 $\pm$ 0.04,0.33 $\pm$ 0.07
fr,bert-base-multilingual-cased,0.38 $\pm$ 0.04,0.46 $\pm$ 0.03,0.49 $\pm$ 0.04,0.50 $\pm$ 0.03,0.50 $\pm$ 0.05,0.50 $\pm$ 0.03
fr,distilbert-base-multilingual-cased,0.37 $\pm$ 0.06,0.44 $\pm$ 0.02,0.48 $\pm$ 0.04,0.48 $\pm$ 0.02,0.44 $\pm$ 0.04,0.45 $\pm$ 0.04
fr,facebook-mbart-large-50,0.44 $\pm$ 0.03,0.47 $\pm$ 0.02,0.51 $\pm$ 0.02,0.52 $\pm$ 0.03,0.52 $\pm$ 0.03,0.51 $\pm$ 0.06
fr,gpt2,0.36 $\pm$ 0.06,0.36 $\pm$ 0.02,0.43 $\pm$ 0.02,0.43 $\pm$ 0.02,0.42 $\pm$ 0.06,0.44 $\pm$ 0.01
fr,xlm-roberta-large,0.44 $\pm$ 0.02,0.51 $\pm$ 0.02,0.52 $\pm$ 0.04,**0.55 $\pm$ 0.04**,0.54 $\pm$ 0.02,0.49 $\pm$ 0.07
ge,EleutherAI-gpt-neo-1.3B,0.41 $\pm$ 0.03,0.49 $\pm$ 0.04,0.52 $\pm$ 0.04,0.50 $\pm$ 0.03,0.49 $\pm$ 0.02,0.54 $\pm$ 0.03
ge,EleutherAI-gpt-neo-125M,0.33 $\pm$ 0.03,0.41 $\pm$ 0.02,0.41 $\pm$ 0.01,0.43 $\pm$ 0.02,0.44 $\pm$ 0.03,0.45 $\pm$ 0.02
ge,bert-base-multilingual-cased,0.46 $\pm$ 0.04,0.54 $\pm$ 0.04,0.54 $\pm$ 0.02,0.58 $\pm$ 0.04,0.54 $\pm$ 0.02,0.58 $\pm$ 0.05
ge,distilbert-base-multilingual-cased,0.44 $\pm$ 0.01,0.51 $\pm$ 0.02,0.49 $\pm$ 0.03,0.54 $\pm$ 0.03,0.52 $\pm$ 0.01,0.55 $\pm$ 0.04
ge,facebook-mbart-large-50,0.50 $\pm$ 0.02,0.55 $\pm$ 0.02,0.56 $\pm$ 0.03,0.59 $\pm$ 0.01,0.59 $\pm$ 0.00,0.58 $\pm$ 0.05
ge,gpt2,0.46 $\pm$ 0.05,0.49 $\pm$ 0.05,0.50 $\pm$ 0.05,0.52 $\pm$ 0.05,0.51 $\pm$ 0.03,0.50 $\pm$ 0.01
ge,xlm-roberta-large,0.50 $\pm$ 0.02,0.57 $\pm$ 0.02,0.57 $\pm$ 0.02,0.58 $\pm$ 0.01,**0.62 $\pm$ 0.07**,0.61 $\pm$ 0.03
it,EleutherAI-gpt-neo-1.3B,0.35 $\pm$ 0.04,0.38 $\pm$ 0.06,0.44 $\pm$ 0.02,0.45 $\pm$ 0.07,0.44 $\pm$ 0.09,0.47 $\pm$ 0.01
it,EleutherAI-gpt-neo-125M,0.28 $\pm$ 0.04,0.36 $\pm$ 0.04,0.36 $\pm$ 0.02,0.35 $\pm$ 0.02,0.40 $\pm$ 0.06,0.37 $\pm$ 0.01
it,bert-base-multilingual-cased,0.40 $\pm$ 0.00,0.48 $\pm$ 0.02,0.50 $\pm$ 0.03,0.51 $\pm$ 0.03,0.51 $\pm$ 0.02,0.49 $\pm$ 0.02
it,distilbert-base-multilingual-cased,0.39 $\pm$ 0.01,0.44 $\pm$ 0.04,0.46 $\pm$ 0.03,0.50 $\pm$ 0.06,0.45 $\pm$ 0.04,0.47 $\pm$ 0.01
it,facebook-mbart-large-50,0.42 $\pm$ 0.01,0.47 $\pm$ 0.06,0.49 $\pm$ 0.02,0.51 $\pm$ 0.03,0.50 $\pm$ 0.03,0.52 $\pm$ 0.05
it,gpt2,0.37 $\pm$ 0.03,0.40 $\pm$ 0.01,0.45 $\pm$ 0.03,0.49 $\pm$ 0.03,0.46 $\pm$ 0.01,0.47 $\pm$ 0.02
it,xlm-roberta-large,0.43 $\pm$ 0.05,0.49 $\pm$ 0.02,0.50 $\pm$ 0.03,**0.54 $\pm$ 0.02**,0.52 $\pm$ 0.02,0.53 $\pm$ 0.04
po,EleutherAI-gpt-neo-1.3B,0.48 $\pm$ 0.03,0.49 $\pm$ 0.02,0.58 $\pm$ 0.02,0.53 $\pm$ 0.04,0.56 $\pm$ 0.05,0.58 $\pm$ 0.05
po,EleutherAI-gpt-neo-125M,0.34 $\pm$ 0.05,0.42 $\pm$ 0.04,0.50 $\pm$ 0.02,0.44 $\pm$ 0.06,0.49 $\pm$ 0.02,0.50 $\pm$ 0.02
po,bert-base-multilingual-cased,0.50 $\pm$ 0.04,0.56 $\pm$ 0.04,0.56 $\pm$ 0.04,0.58 $\pm$ 0.02,0.62 $\pm$ 0.01,0.57 $\pm$ 0.04
po,distilbert-base-multilingual-cased,0.49 $\pm$ 0.03,0.54 $\pm$ 0.04,0.58 $\pm$ 0.05,0.55 $\pm$ 0.03,0.54 $\pm$ 0.03,0.57 $\pm$ 0.03
po,facebook-mbart-large-50,0.51 $\pm$ 0.02,0.55 $\pm$ 0.01,0.59 $\pm$ 0.02,0.62 $\pm$ 0.02,0.59 $\pm$ 0.02,0.61 $\pm$ 0.05
po,gpt2,0.48 $\pm$ 0.03,0.52 $\pm$ 0.01,0.55 $\pm$ 0.04,0.58 $\pm$ 0.03,0.57 $\pm$ 0.06,0.57 $\pm$ 0.04
po,xlm-roberta-large,0.54 $\pm$ 0.02,0.55 $\pm$ 0.05,0.60 $\pm$ 0.03,0.63 $\pm$ 0.02,0.63 $\pm$ 0.03,**0.69 $\pm$ 0.06**
ru,EleutherAI-gpt-neo-1.3B,0.14 $\pm$ 0.01,0.16 $\pm$ 0.02,0.31 $\pm$ 0.05,0.29 $\pm$ 0.05,0.31 $\pm$ 0.02,0.32 $\pm$ 0.07
ru,EleutherAI-gpt-neo-125M,0.16 $\pm$ 0.01,0.17 $\pm$ 0.03,0.15 $\pm$ 0.02,0.16 $\pm$ 0.01,0.14 $\pm$ 0.02,0.12 $\pm$ 0.04
ru,bert-base-multilingual-cased,0.31 $\pm$ 0.03,0.40 $\pm$ 0.05,0.44 $\pm$ 0.05,0.45 $\pm$ 0.10,0.44 $\pm$ 0.04,0.45 $\pm$ 0.04
ru,distilbert-base-multilingual-cased,0.23 $\pm$ 0.01,0.33 $\pm$ 0.02,0.35 $\pm$ 0.04,0.39 $\pm$ 0.06,0.39 $\pm$ 0.06,0.36 $\pm$ 0.02
