language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.718796992481203,0.7709677419354839,0.6732394366197183,0.7948058196055011,0.11046511627906977
en,fold_2,raw_text,0.6983333333333334,0.7788104089219331,0.6329305135951662,0.782111908067791,0.11695906432748537
en,fold_3,raw_text,0.6835650040883074,0.7346221441124781,0.6391437308868502,0.7761810608457239,0.1111111111111111
fr,fold_1,raw_text,0.5396039603960396,0.5956284153005464,0.49321266968325794,0.6978579817454498,0.02857142857142857
fr,fold_2,raw_text,0.5738161559888578,0.6866666666666666,0.49282296650717705,0.7159315870149374,0.1
fr,fold_3,raw_text,0.5898123324396782,0.6395348837209303,0.5472636815920398,0.7345397853105218,0.08450704225352113
ge,fold_1,raw_text,0.6593886462882096,0.722488038277512,0.606425702811245,0.7529528860676675,0.11864406779661017
ge,fold_2,raw_text,0.6581740976645436,0.7077625570776256,0.6150793650793651,0.7517905536198219,0.13559322033898305
ge,fold_3,raw_text,0.6567796610169491,0.7598039215686274,0.5783582089552238,0.7441423397717296,0.1206896551724138
it,fold_1,raw_text,0.6485753052917232,0.6927536231884058,0.6096938775510204,0.7529878389712049,0.12871287128712872
it,fold_2,raw_text,0.5579514824797844,0.5880681818181818,0.5307692307692308,0.6945838341346154,0.0594059405940594
it,fold_3,raw_text,0.630057803468208,0.6876971608832808,0.5813333333333334,0.7430247032402951,0.09900990099009901
po,fold_1,raw_text,0.6575342465753425,0.6713286713286714,0.6442953020134228,0.7453502653857964,0.07692307692307693
po,fold_2,raw_text,0.6699999999999999,0.7230215827338129,0.6242236024844721,0.7466356107660456,0.06153846153846154
po,fold_3,raw_text,0.6819672131147541,0.7790262172284644,0.6064139941690962,0.7498616082961214,0.078125
ru,fold_1,raw_text,0.5285714285714286,0.6324786324786325,0.4539877300613497,0.6970912224715651,0.23809523809523808
ru,fold_2,raw_text,0.5274725274725275,0.6486486486486487,0.4444444444444444,0.6956554647290342,0.140625
ru,fold_3,raw_text,0.5488721804511278,0.5983606557377049,0.5069444444444444,0.7208924349881797,0.125
