language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.7199391171993912,0.7831125827814569,0.6661971830985915,0.7945237976741486,0.12790697674418605
en,fold_2,title_and_10_sentences,0.6863226863226864,0.7495527728085868,0.6329305135951662,0.7760495524095924,0.06432748538011696
en,fold_3,title_and_10_sentences,0.6880658436213992,0.7450980392156863,0.6391437308868502,0.7784799114204366,0.12280701754385964
fr,fold_1,title_and_10_sentences,0.5276381909547739,0.5932203389830508,0.4751131221719457,0.6901257310464471,0.07142857142857142
fr,fold_2,title_and_10_sentences,0.555858310626703,0.6455696202531646,0.4880382775119617,0.7077026666418434,0.07142857142857142
fr,fold_3,title_and_10_sentences,0.555858310626703,0.6144578313253012,0.5074626865671642,0.7133782537501647,0.07042253521126761
ge,fold_1,title_and_10_sentences,0.5956521739130436,0.6492890995260664,0.5502008032128514,0.7109756182442073,0.05084745762711865
ge,fold_2,title_and_10_sentences,0.6068376068376069,0.6574074074074074,0.5634920634920635,0.7172861014324429,0.03389830508474576
ge,fold_3,title_and_10_sentences,0.6090712742980561,0.7230769230769231,0.5261194029850746,0.7134273485513609,0.06896551724137931
it,fold_1,title_and_10_sentences,0.6052998605299861,0.6676923076923077,0.5535714285714286,0.7239481409001958,0.10891089108910891
it,fold_2,title_and_10_sentences,0.5320600272851296,0.5685131195335277,0.5,0.677734375,0.06930693069306931
it,fold_3,title_and_10_sentences,0.5813953488372093,0.6389776357827476,0.5333333333333333,0.7122874558870708,0.09900990099009901
po,fold_1,title_and_10_sentences,0.618629173989455,0.6494464944649446,0.5906040268456376,0.7176876343378515,0.07692307692307693
po,fold_2,title_and_10_sentences,0.6325878594249201,0.6513157894736842,0.6149068322981367,0.7173173617272997,0.06153846153846154
po,fold_3,title_and_10_sentences,0.6563573883161512,0.799163179916318,0.5568513119533528,0.7350260176403293,0.0625
ru,fold_1,title_and_10_sentences,0.4962962962962963,0.6261682242990654,0.4110429447852761,0.6777050607097452,0.15873015873015872
ru,fold_2,title_and_10_sentences,0.45421245421245415,0.5585585585585585,0.38271604938271603,0.6579792780973525,0.078125
ru,fold_3,title_and_10_sentences,0.47286821705426363,0.5350877192982456,0.4236111111111111,0.676566193853428,0.078125
