language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.652615144418423,0.7320490367775832,0.5887323943661972,0.7493131936495298,0.06976744186046512
en,fold_2,title,0.6060113728675873,0.655536028119508,0.5634441087613293,0.7251400682374776,0.04678362573099415
en,fold_3,title,0.6008810572687225,0.7089397089397089,0.5214067278287462,0.7204734788569018,0.05847953216374269
fr,fold_1,title,0.41530054644808745,0.5241379310344828,0.3438914027149321,0.6264911559029207,0.02857142857142857
fr,fold_2,title,0.4585635359116022,0.5424836601307189,0.39712918660287083,0.6531690031587636,0.07142857142857142
fr,fold_3,title,0.42406876790830944,0.5,0.3681592039800995,0.6374213422170358,0.028169014084507043
ge,fold_1,title,0.45777777777777773,0.5124378109452736,0.41365461847389556,0.6219052988383343,0.03389830508474576
ge,fold_2,title,0.4842105263157894,0.515695067264574,0.45634920634920634,0.6340979481223384,0.0
ge,fold_3,title,0.46086956521739125,0.5520833333333334,0.39552238805970147,0.6187170763827918,0.034482758620689655
it,fold_1,title,0.46399999999999997,0.4860335195530726,0.44387755102040816,0.6319192060385798,0.0
it,fold_2,title,0.3982558139534884,0.4597315436241611,0.35128205128205126,0.5970277443910257,0.039603960396039604
it,fold_3,title,0.42345276872964166,0.5439330543933054,0.3466666666666667,0.6208790503689445,0.0297029702970297
po,fold_1,title,0.5047619047619046,0.4789156626506024,0.5335570469798657,0.6254386542088871,0.03076923076923077
po,fold_2,title,0.5166402535657686,0.5275080906148867,0.5062111801242236,0.6289559301981662,0.0
po,fold_3,title,0.5310344827586206,0.6497890295358649,0.4489795918367347,0.6494445879617671,0.015625
ru,fold_1,title,0.3053435114503817,0.40404040404040403,0.24539877300613497,0.5816701792708004,0.015873015873015872
ru,fold_2,title,0.17543859649122806,0.30303030303030304,0.12345679012345678,0.5303932451979682,0.0625
ru,fold_3,title,0.22885572139303476,0.40350877192982454,0.1597222222222222,0.5572547281323877,0.0625
