language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.5506003430531732,0.7039473684210527,0.45211267605633804,0.6863036878514907,0.040697674418604654
en,fold_2,title,0.5042016806722689,0.5681818181818182,0.45317220543806647,0.6607662412871625,0.005847953216374269
en,fold_3,title,0.5197255574614065,0.591796875,0.463302752293578,0.6715939048824212,0.03508771929824561
fr,fold_1,title,0.254416961130742,0.5806451612903226,0.16289592760180996,0.5643201640644097,0.014285714285714285
fr,fold_2,title,0.3231197771587744,0.38666666666666666,0.27751196172248804,0.579093205245161,0.02857142857142857
fr,fold_3,title,0.28571428571428575,0.411214953271028,0.21890547263681592,0.5697301638089501,0.014084507042253521
ge,fold_1,title,0.44221105527638194,0.5906040268456376,0.3534136546184739,0.6238472085917326,0.0
ge,fold_2,title,0.4334085778781038,0.5026178010471204,0.38095238095238093,0.6077235772357724,0.0
ge,fold_3,title,0.36533957845433257,0.49056603773584906,0.291044776119403,0.5710738586479368,0.0
it,fold_1,title,0.3214285714285714,0.4419642857142857,0.25255102040816324,0.5651209113782499,0.009900990099009901
it,fold_2,title,0.3503875968992248,0.44313725490196076,0.28974358974358977,0.5755358573717949,0.0297029702970297
it,fold_3,title,0.30085470085470084,0.41904761904761906,0.23466666666666666,0.5586230349695219,0.009900990099009901
po,fold_1,title,0.4053537284894837,0.4711111111111111,0.35570469798657717,0.5806301267710664,0.0
po,fold_2,title,0.46101694915254243,0.5074626865671642,0.422360248447205,0.5989352262644188,0.0
po,fold_3,title,0.4436741767764299,0.5470085470085471,0.37317784256559766,0.5907480532900321,0.015625
ru,fold_1,title,0.1900452488687783,0.3620689655172414,0.12883435582822086,0.5386869971074344,0.06349206349206349
ru,fold_2,title,0.18099547511312217,0.3389830508474576,0.12345679012345678,0.5351616375685405,0.015625
ru,fold_3,title,0.16901408450704225,0.2608695652173913,0.125,0.5285904255319148,0.03125
