language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6723735408560311,0.7513043478260869,0.6084507042253521,0.7621169893329353,0.09883720930232558
en,fold_2,title,0.6242868785656072,0.6778761061946903,0.5785498489425982,0.7367345087669112,0.06432748538011696
en,fold_3,title,0.6199505358615004,0.6726296958855098,0.5749235474006116,0.734875566803754,0.04678362573099415
fr,fold_1,title,0.49066666666666664,0.5974025974025974,0.416289592760181,0.6673015816238322,0.04285714285714286
fr,fold_2,title,0.48571428571428577,0.6028368794326241,0.40669856459330145,0.6670328101825133,0.08571428571428572
fr,fold_3,title,0.436046511627907,0.5244755244755245,0.373134328358209,0.6436920065498485,0.028169014084507043
ge,fold_1,title,0.5116279069767442,0.6077348066298343,0.44176706827309237,0.6593584041538773,0.05084745762711865
ge,fold_2,title,0.5198237885462554,0.5841584158415841,0.46825396825396826,0.660956252419667,0.03389830508474576
ge,fold_3,title,0.511727078891258,0.5970149253731343,0.44776119402985076,0.6494320676031606,0.034482758620689655
it,fold_1,title,0.4992481203007519,0.608058608058608,0.42346938775510207,0.6593863572826391,0.07920792079207921
it,fold_2,title,0.43505477308294216,0.5582329317269076,0.3564102564102564,0.6244941907051282,0.039603960396039604
it,fold_3,title,0.46801872074882994,0.5639097744360902,0.4,0.644177093358999,0.039603960396039604
po,fold_1,title,0.521891418563923,0.5457875457875457,0.5,0.6486928104575165,0.015384615384615385
po,fold_2,title,0.5477031802120143,0.6352459016393442,0.4813664596273292,0.6650029577048211,0.0
po,fold_3,title,0.5212947189097105,0.6270491803278688,0.446064139941691,0.6407535889581872,0.0
ru,fold_1,title,0.3412698412698412,0.48314606741573035,0.26380368098159507,0.5999129670554707,0.06349206349206349
ru,fold_2,title,0.3665338645418327,0.5168539325842697,0.2839506172839506,0.6126837555084602,0.078125
ru,fold_3,title,0.3728813559322034,0.4782608695652174,0.3055555555555556,0.6208628841607565,0.046875
