language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.7024539877300613,0.7710437710437711,0.6450704225352113,0.7824880970155443,0.11046511627906977
en,fold_2,raw_text,0.6672038678485094,0.7150259067357513,0.6253776435045317,0.7650560272949911,0.08187134502923976
en,fold_3,raw_text,0.681704260651629,0.7513812154696132,0.6238532110091743,0.7731335020563114,0.12280701754385964
fr,fold_1,raw_text,0.5597964376590331,0.6395348837209303,0.497737556561086,0.7080255635242847,0.07142857142857142
fr,fold_2,raw_text,0.594871794871795,0.6408839779005525,0.5550239234449761,0.7353589137328642,0.12857142857142856
fr,fold_3,raw_text,0.5271739130434783,0.5808383233532934,0.48258706467661694,0.6971573406611332,0.07042253521126761
ge,fold_1,raw_text,0.5835189309576837,0.655,0.5261044176706827,0.7032601811057053,0.05084745762711865
ge,fold_2,raw_text,0.6157024793388429,0.6422413793103449,0.5912698412698413,0.7233352690669764,0.01694915254237288
ge,fold_3,raw_text,0.6227544910179642,0.6695278969957081,0.582089552238806,0.7202727172958736,0.06896551724137931
it,fold_1,raw_text,0.6011396011396011,0.6806451612903226,0.5382653061224489,0.7206982107911657,0.09900990099009901
it,fold_2,raw_text,0.5006915629322268,0.5435435435435435,0.4641025641025641,0.6578325320512821,0.04950495049504951
it,fold_3,raw_text,0.597997138769671,0.6450617283950617,0.5573333333333333,0.7233249919794673,0.09900990099009901
po,fold_1,raw_text,0.6215277777777778,0.6438848920863309,0.6006711409395973,0.7194532175286221,0.06153846153846154
po,fold_2,raw_text,0.6141215106732348,0.6515679442508711,0.5807453416149069,0.7053386572020113,0.06153846153846154
po,fold_3,raw_text,0.6422893481717011,0.7062937062937062,0.5889212827988338,0.7185112743108093,0.03125
ru,fold_1,raw_text,0.5056603773584906,0.6568627450980392,0.4110429447852761,0.6811821121701068,0.2222222222222222
ru,fold_2,raw_text,0.483271375464684,0.6074766355140186,0.4012345679012346,0.672006929727184,0.125
ru,fold_3,raw_text,0.5201465201465202,0.5503875968992248,0.4930555555555556,0.7079639479905437,0.109375
