language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.6876438986953185,0.7554806070826307,0.6309859154929578,0.7727956668159726,0.08139534883720931
en,fold_2,title_and_5_sentences,0.6725239616613419,0.7135593220338983,0.6359516616314199,0.7691883019473496,0.12280701754385964
en,fold_3,title_and_5_sentences,0.6606409202958093,0.7140319715808171,0.6146788990825688,0.7610750817251926,0.08771929824561403
fr,fold_1,title_and_5_sentences,0.5247524752475248,0.5792349726775956,0.4796380090497738,0.6890943668437275,0.05714285714285714
fr,fold_2,title_and_5_sentences,0.503778337531486,0.5319148936170213,0.4784688995215311,0.6821657078671209,0.08571428571428572
fr,fold_3,title_and_5_sentences,0.49142857142857144,0.5771812080536913,0.42786069651741293,0.6742077757492487,0.09859154929577464
ge,fold_1,title_and_5_sentences,0.5822222222222223,0.6517412935323383,0.5261044176706827,0.7023936299791887,0.06779661016949153
ge,fold_2,title_and_5_sentences,0.5504950495049505,0.549407114624506,0.5515873015873016,0.676490514905149,0.0
ge,fold_3,title_and_5_sentences,0.5975103734439835,0.6728971962616822,0.5373134328358209,0.7043184811237928,0.06896551724137931
it,fold_1,title_and_5_sentences,0.5331325301204819,0.6507352941176471,0.45153061224489793,0.6792878110148168,0.06930693069306931
it,fold_2,title_and_5_sentences,0.508843537414966,0.5420289855072464,0.4794871794871795,0.6625951522435898,0.04950495049504951
it,fold_3,title_and_5_sentences,0.5384615384615384,0.6046511627906976,0.48533333333333334,0.6854000641642605,0.0891089108910891
po,fold_1,title_and_5_sentences,0.6,0.6170212765957447,0.5838926174496645,0.7037110146071851,0.03076923076923077
po,fold_2,title_and_5_sentences,0.5788617886178862,0.6075085324232082,0.5527950310559007,0.678608399881692,0.09230769230769231
po,fold_3,title_and_5_sentences,0.6436781609195403,0.7368421052631579,0.5714285714285714,0.7224231464737794,0.03125
ru,fold_1,title_and_5_sentences,0.39705882352941174,0.4954128440366973,0.3312883435582822,0.6273966057151633,0.07936507936507936
ru,fold_2,title_and_5_sentences,0.4666666666666666,0.5833333333333334,0.3888888888888889,0.663790493490766,0.09375
ru,fold_3,title_and_5_sentences,0.5193798449612403,0.5877192982456141,0.4652777777777778,0.7013888888888888,0.171875
