language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6527999999999999,0.7555555555555555,0.5746478873239437,0.7484546857114419,0.06976744186046512
en,fold_2,title,0.5743944636678201,0.6720647773279352,0.5015105740181269,0.7039885433601027,0.04678362573099415
en,fold_3,title,0.5728476821192053,0.6245487364620939,0.5290519877675841,0.7047558789412633,0.029239766081871343
fr,fold_1,title,0.4525139664804469,0.5912408759124088,0.3665158371040724,0.6463672729657385,0.08571428571428572
fr,fold_2,title,0.4709141274238227,0.5592105263157895,0.40669856459330145,0.6598992174458076,0.07142857142857142
fr,fold_3,title,0.4412607449856733,0.5202702702702703,0.38308457711442784,0.6467755798560789,0.04225352112676056
ge,fold_1,title,0.4855769230769231,0.6047904191616766,0.40562248995983935,0.645618870629833,0.01694915254237288
ge,fold_2,title,0.53276955602537,0.5701357466063348,0.5,0.667247386759582,0.01694915254237288
ge,fold_3,title,0.5031185031185031,0.568075117370892,0.45149253731343286,0.6411874451273046,0.017241379310344827
it,fold_1,title,0.48265460030165913,0.5904059040590406,0.40816326530612246,0.6497763488957227,0.009900990099009901
it,fold_2,title,0.43759630200308164,0.5482625482625483,0.3641025641025641,0.6249223758012821,0.039603960396039604
it,fold_3,title,0.4505327245053273,0.524822695035461,0.39466666666666667,0.6328482515239012,0.019801980198019802
po,fold_1,title,0.467680608365019,0.5394736842105263,0.412751677852349,0.6205915252006843,0.015384615384615385
po,fold_2,title,0.5294117647058824,0.59765625,0.4751552795031056,0.6499926057379474,0.015384615384615385
po,fold_3,title,0.5315161839863713,0.639344262295082,0.45481049562682213,0.6478392441967746,0.0
ru,fold_1,title,0.3591836734693878,0.5365853658536586,0.26993865030674846,0.608543734054626,0.07936507936507936
ru,fold_2,title,0.32900432900432897,0.5507246376811594,0.2345679012345679,0.5961667844047498,0.078125
ru,fold_3,title,0.33050847457627114,0.42391304347826086,0.2708333333333333,0.600177304964539,0.03125
