language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7168347556245152,0.7979274611398963,0.6507042253521127,0.7908998158562683,0.13953488372093023
en,fold_2,title_and_first_sentence_each_paragraph,0.7025264873675631,0.7628318584070797,0.6510574018126888,0.7868450981349818,0.10526315789473684
en,fold_3,title_and_first_sentence_each_paragraph,0.7109311740890689,0.7555938037865749,0.6712538226299695,0.7948223136138354,0.1111111111111111
fr,fold_1,title_and_first_sentence_each_paragraph,0.5656565656565655,0.64,0.5067873303167421,0.7118916888737861,0.08571428571428572
fr,fold_2,title_and_first_sentence_each_paragraph,0.5927835051546392,0.6424581005586593,0.5502392344497608,0.7336150776658661,0.12857142857142856
fr,fold_3,title_and_first_sentence_each_paragraph,0.5802816901408451,0.6688311688311688,0.5124378109452736,0.7240625372506948,0.1267605633802817
ge,fold_1,title_and_first_sentence_each_paragraph,0.6565217391304348,0.7156398104265402,0.606425702811245,0.7512197838146346,0.06779661016949153
ge,fold_2,title_and_first_sentence_each_paragraph,0.6090712742980561,0.6682464454976303,0.5595238095238095,0.7187862950058073,0.01694915254237288
ge,fold_3,title_and_first_sentence_each_paragraph,0.651356993736952,0.7393364928909952,0.582089552238806,0.7404933055311678,0.13793103448275862
it,fold_1,title_and_first_sentence_each_paragraph,0.5644504748982362,0.6028985507246377,0.5306122448979592,0.6982806821358681,0.0594059405940594
it,fold_2,title_and_first_sentence_each_paragraph,0.5642458100558659,0.6196319018404908,0.517948717948718,0.6984274839743589,0.0297029702970297
it,fold_3,title_and_first_sentence_each_paragraph,0.613953488372093,0.7333333333333333,0.528,0.7293512993262753,0.1188118811881188
po,fold_1,title_and_first_sentence_each_paragraph,0.6401326699834162,0.6327868852459017,0.6476510067114094,0.7323222353818485,0.09230769230769231
po,fold_2,title_and_first_sentence_each_paragraph,0.652027027027027,0.7148148148148148,0.5993788819875776,0.7342132505175983,0.07692307692307693
po,fold_3,title_and_first_sentence_each_paragraph,0.6645367412140576,0.734982332155477,0.6064139941690962,0.7353950621840056,0.046875
ru,fold_1,title_and_first_sentence_each_paragraph,0.5472972972972973,0.6090225563909775,0.49693251533742333,0.7123049224809509,0.15873015873015872
ru,fold_2,title_and_first_sentence_each_paragraph,0.5454545454545455,0.6637168141592921,0.46296296296296297,0.7055959228983752,0.15625
ru,fold_3,title_and_first_sentence_each_paragraph,0.540983606557377,0.66,0.4583333333333333,0.7065602836879432,0.15625
