language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6945736434108527,0.7724137931034483,0.6309859154929578,0.7766236997959488,0.0872093023255814
en,fold_2,title_and_first_paragraph,0.667192429022082,0.698019801980198,0.6389728096676737,0.7666573055266774,0.07602339181286549
en,fold_3,title_and_first_paragraph,0.670750382848392,0.6717791411042945,0.6697247706422018,0.7733681324475377,0.0935672514619883
fr,fold_1,title_and_first_paragraph,0.44094488188976383,0.525,0.38009049773755654,0.6399793727159456,0.014285714285714285
fr,fold_2,title_and_first_paragraph,0.4257703081232493,0.5135135135135135,0.36363636363636365,0.6351255748142908,0.08571428571428572
fr,fold_3,title_and_first_paragraph,0.4082840236686391,0.5036496350364964,0.34328358208955223,0.6287666334155201,0.04225352112676056
ge,fold_1,title_and_first_paragraph,0.533049040511727,0.5681818181818182,0.5020080321285141,0.6686816590451929,0.05084745762711865
ge,fold_2,title_and_first_paragraph,0.5267489711934157,0.5470085470085471,0.5079365079365079,0.6616337591947348,0.01694915254237288
ge,fold_3,title_and_first_paragraph,0.49087221095334693,0.5377777777777778,0.45149253731343286,0.6301580333625988,0.034482758620689655
it,fold_1,title_and_first_paragraph,0.4963924963924964,0.5714285714285714,0.4387755102040816,0.6562762091137825,0.0297029702970297
it,fold_2,title_and_first_paragraph,0.45095168374816985,0.5255972696245734,0.39487179487179486,0.6295648036858974,0.019801980198019802
it,fold_3,title_and_first_paragraph,0.43661971830985913,0.4626865671641791,0.41333333333333333,0.6200449149823548,0.0
po,fold_1,title_and_first_paragraph,0.5186500888099468,0.5509433962264151,0.4899328859060403,0.647744220730798,0.03076923076923077
po,fold_2,title_and_first_paragraph,0.5442176870748299,0.6015037593984962,0.4968944099378882,0.6583111505471755,0.015384615384615385
po,fold_3,title_and_first_paragraph,0.5306799336650083,0.6153846153846154,0.46647230320699706,0.6428202384027752,0.015625
ru,fold_1,title_and_first_paragraph,0.13612565445026178,0.4642857142857143,0.07975460122699386,0.529446146232412,0.031746031746031744
ru,fold_2,title_and_first_paragraph,0.17525773195876287,0.53125,0.10493827160493827,0.542251152151243,0.0625
ru,fold_3,title_and_first_paragraph,0.08284023668639054,0.28,0.04861111111111111,0.5123374704491727,0.0
