language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6817859673990078,0.6861626248216833,0.6774647887323944,0.7739502977819804,0.08139534883720931
en,fold_2,title_and_first_sentence_each_paragraph,0.6588966588966589,0.6784,0.6404833836858006,0.7622162876858564,0.06432748538011696
en,fold_3,title_and_first_sentence_each_paragraph,0.6531791907514451,0.6191780821917808,0.691131498470948,0.7656806917642095,0.07017543859649122
fr,fold_1,title_and_first_sentence_each_paragraph,0.45758354755784064,0.5297619047619048,0.40271493212669685,0.6493153053255354,0.04285714285714286
fr,fold_2,title_and_first_sentence_each_paragraph,0.4947916666666667,0.5428571428571428,0.45454545454545453,0.6753920528239594,0.07142857142857142
fr,fold_3,title_and_first_sentence_each_paragraph,0.5322128851540615,0.6089743589743589,0.472636815920398,0.6978568694986605,0.09859154929577464
ge,fold_1,title_and_first_sentence_each_paragraph,0.5316973415132924,0.5416666666666666,0.5220883534136547,0.6657235527900163,0.06779661016949153
ge,fold_2,title_and_first_sentence_each_paragraph,0.5403050108932462,0.5990338164251208,0.49206349206349204,0.6737320944638018,0.01694915254237288
ge,fold_3,title_and_first_sentence_each_paragraph,0.5696969696969696,0.6211453744493393,0.5261194029850746,0.6840155838454784,0.05172413793103448
it,fold_1,title_and_first_sentence_each_paragraph,0.4867872044506259,0.5351681957186545,0.44642857142857145,0.6488502935420744,0.039603960396039604
it,fold_2,title_and_first_sentence_each_paragraph,0.4872944693572497,0.5842293906810035,0.41794871794871796,0.652333733974359,0.04950495049504951
it,fold_3,title_and_first_sentence_each_paragraph,0.5175438596491229,0.5728155339805825,0.472,0.6724773820981713,0.0594059405940594
po,fold_1,title_and_first_sentence_each_paragraph,0.5911330049261084,0.5787781350482315,0.6040268456375839,0.6949872790279422,0.046153846153846156
po,fold_2,title_and_first_sentence_each_paragraph,0.5695792880258901,0.5945945945945946,0.546583850931677,0.671251109139308,0.046153846153846156
po,fold_3,title_and_first_sentence_each_paragraph,0.5895765472312703,0.6678966789667896,0.5276967930029155,0.6824740746208068,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.27160493827160487,0.4125,0.20245398773006135,0.5685427101376315,0.031746031746031744
ru,fold_2,title_and_first_sentence_each_paragraph,0.11398963730569948,0.3548387096774194,0.06790123456790123,0.5203266390823158,0.03125
ru,fold_3,title_and_first_sentence_each_paragraph,0.1791044776119403,0.3157894736842105,0.125,0.5365691489361702,0.015625
