language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6751687921980495,0.7223113964686998,0.6338028169014085,0.7659591234094791,0.05232558139534884
en,fold_2,title,0.6384676775738228,0.676818950930626,0.6042296072507553,0.7469762354960473,0.10526315789473684
en,fold_3,title,0.6161290322580646,0.6518771331058021,0.5840978593272171,0.7334282400084362,0.08771929824561403
fr,fold_1,title,0.39560439560439564,0.5034965034965035,0.3257918552036199,0.616123859090611,0.04285714285714286
fr,fold_2,title,0.4011976047904192,0.536,0.32057416267942584,0.6226735923643563,0.05714285714285714
fr,fold_3,title,0.34502923976608185,0.41843971631205673,0.2935323383084577,0.5950637731895377,0.056338028169014086
ge,fold_1,title,0.5240174672489083,0.5741626794258373,0.4819277108433735,0.6638408051617214,0.03389830508474576
ge,fold_2,title,0.5404255319148936,0.5825688073394495,0.503968253968254,0.6727158343012001,0.05084745762711865
ge,fold_3,title,0.4320987654320988,0.481651376146789,0.3917910447761194,0.5920352282704127,0.0
it,fold_1,title,0.43001443001443007,0.4950166112956811,0.38010204081632654,0.6156870282359519,0.009900990099009901
it,fold_2,title,0.36666666666666664,0.44814814814814813,0.31025641025641026,0.5823742988782051,0.0297029702970297
it,fold_3,title,0.3987538940809969,0.4794007490636704,0.3413333333333333,0.6037754250882258,0.019801980198019802
po,fold_1,title,0.4572368421052631,0.4483870967741935,0.4664429530201342,0.593515594157126,0.0
po,fold_2,title,0.47325769854132904,0.49491525423728816,0.453416149068323,0.6000073942620526,0.03076923076923077
po,fold_3,title,0.4766666666666666,0.556420233463035,0.41690962099125367,0.6053806694468022,0.0
ru,fold_1,title,0.17272727272727273,0.3333333333333333,0.1165644171779141,0.5318566174902087,0.015873015873015872
ru,fold_2,title,0.16346153846153846,0.3695652173913043,0.10493827160493827,0.5327143674100986,0.03125
ru,fold_3,title,0.1319796954314721,0.24528301886792453,0.09027777777777778,0.5185431442080378,0.03125
