language,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,EleutherAI-gpt-neo-1.3B,0.70 $\pm$ 0.04,0.76 $\pm$ 0.04,0.74 $\pm$ 0.04,**0.77 $\pm$ 0.02**,**0.77 $\pm$ 0.03**,0.76 $\pm$ 0.04
en,EleutherAI-gpt-neo-125M,0.62 $\pm$ 0.07,0.67 $\pm$ 0.05,0.71 $\pm$ 0.04,0.70 $\pm$ 0.04,0.70 $\pm$ 0.02,0.68 $\pm$ 0.04
en,bert-base-multilingual-cased,0.70 $\pm$ 0.04,0.75 $\pm$ 0.02,0.75 $\pm$ 0.01,0.75 $\pm$ 0.02,0.75 $\pm$ 0.02,0.76 $\pm$ 0.03
en,distilbert-base-multilingual-cased,0.68 $\pm$ 0.07,0.73 $\pm$ 0.02,0.73 $\pm$ 0.02,0.74 $\pm$ 0.03,0.74 $\pm$ 0.05,0.75 $\pm$ 0.03
en,facebook-mbart-large-50,0.71 $\pm$ 0.03,0.76 $\pm$ 0.02,0.76 $\pm$ 0.02,0.76 $\pm$ 0.02,**0.77 $\pm$ 0.02**,0.76 $\pm$ 0.01
en,gpt2,0.68 $\pm$ 0.04,0.71 $\pm$ 0.05,0.69 $\pm$ 0.04,0.68 $\pm$ 0.04,0.66 $\pm$ 0.04,0.63 $\pm$ 0.04
en,xlm-roberta-large,0.72 $\pm$ 0.02,0.76 $\pm$ 0.02,0.75 $\pm$ 0.00,0.76 $\pm$ 0.02,0.74 $\pm$ 0.02,0.75 $\pm$ 0.03
fr,EleutherAI-gpt-neo-1.3B,0.52 $\pm$ 0.02,**0.65 $\pm$ 0.04**,0.58 $\pm$ 0.02,0.64 $\pm$ 0.01,0.62 $\pm$ 0.03,**0.65 $\pm$ 0.01**
fr,EleutherAI-gpt-neo-125M,0.46 $\pm$ 0.11,0.50 $\pm$ 0.06,0.53 $\pm$ 0.04,0.54 $\pm$ 0.01,0.53 $\pm$ 0.04,0.54 $\pm$ 0.02
fr,bert-base-multilingual-cased,0.57 $\pm$ 0.04,0.60 $\pm$ 0.03,0.58 $\pm$ 0.02,0.62 $\pm$ 0.03,0.63 $\pm$ 0.02,0.61 $\pm$ 0.04
fr,distilbert-base-multilingual-cased,0.56 $\pm$ 0.04,0.58 $\pm$ 0.03,0.56 $\pm$ 0.03,0.61 $\pm$ 0.02,0.62 $\pm$ 0.06,0.62 $\pm$ 0.03
fr,facebook-mbart-large-50,0.59 $\pm$ 0.05,0.63 $\pm$ 0.02,0.62 $\pm$ 0.05,**0.65 $\pm$ 0.04**,**0.65 $\pm$ 0.02**,**0.65 $\pm$ 0.03**
fr,gpt2,0.49 $\pm$ 0.06,0.51 $\pm$ 0.01,0.50 $\pm$ 0.03,0.55 $\pm$ 0.02,0.56 $\pm$ 0.04,0.56 $\pm$ 0.02
fr,xlm-roberta-large,0.58 $\pm$ 0.01,0.62 $\pm$ 0.03,0.60 $\pm$ 0.04,0.59 $\pm$ 0.01,0.58 $\pm$ 0.02,0.63 $\pm$ 0.04
ge,EleutherAI-gpt-neo-1.3B,0.53 $\pm$ 0.02,0.66 $\pm$ 0.05,0.65 $\pm$ 0.03,0.70 $\pm$ 0.02,0.68 $\pm$ 0.02,0.71 $\pm$ 0.04
ge,EleutherAI-gpt-neo-125M,0.53 $\pm$ 0.05,0.57 $\pm$ 0.07,0.61 $\pm$ 0.03,0.62 $\pm$ 0.03,0.59 $\pm$ 0.03,0.61 $\pm$ 0.03
ge,bert-base-multilingual-cased,0.60 $\pm$ 0.01,0.64 $\pm$ 0.02,0.67 $\pm$ 0.01,0.67 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.00
ge,distilbert-base-multilingual-cased,0.58 $\pm$ 0.02,0.62 $\pm$ 0.01,0.62 $\pm$ 0.07,0.66 $\pm$ 0.05,0.66 $\pm$ 0.01,0.66 $\pm$ 0.01
ge,facebook-mbart-large-50,0.62 $\pm$ 0.04,0.66 $\pm$ 0.04,0.66 $\pm$ 0.02,0.73 $\pm$ 0.01,0.71 $\pm$ 0.04,**0.74 $\pm$ 0.01**
ge,gpt2,0.55 $\pm$ 0.06,0.55 $\pm$ 0.02,0.60 $\pm$ 0.03,0.61 $\pm$ 0.06,0.59 $\pm$ 0.04,0.60 $\pm$ 0.04
ge,xlm-roberta-large,0.62 $\pm$ 0.02,0.67 $\pm$ 0.04,0.66 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.03,0.69 $\pm$ 0.00
it,EleutherAI-gpt-neo-1.3B,0.50 $\pm$ 0.04,0.63 $\pm$ 0.05,0.59 $\pm$ 0.05,0.66 $\pm$ 0.01,0.65 $\pm$ 0.05,0.66 $\pm$ 0.02
it,EleutherAI-gpt-neo-125M,0.43 $\pm$ 0.01,0.49 $\pm$ 0.04,0.54 $\pm$ 0.04,0.58 $\pm$ 0.06,0.55 $\pm$ 0.06,0.56 $\pm$ 0.05
it,bert-base-multilingual-cased,0.58 $\pm$ 0.03,0.59 $\pm$ 0.03,0.61 $\pm$ 0.03,0.62 $\pm$ 0.06,0.63 $\pm$ 0.05,0.63 $\pm$ 0.02
it,distilbert-base-multilingual-cased,0.55 $\pm$ 0.03,0.55 $\pm$ 0.04,0.60 $\pm$ 0.05,0.61 $\pm$ 0.03,0.60 $\pm$ 0.04,0.62 $\pm$ 0.07
it,facebook-mbart-large-50,0.58 $\pm$ 0.03,0.60 $\pm$ 0.03,0.61 $\pm$ 0.04,0.64 $\pm$ 0.06,0.65 $\pm$ 0.07,**0.69 $\pm$ 0.06**
it,gpt2,0.47 $\pm$ 0.02,0.52 $\pm$ 0.05,0.56 $\pm$ 0.03,0.56 $\pm$ 0.03,0.56 $\pm$ 0.03,0.57 $\pm$ 0.01
it,xlm-roberta-large,0.57 $\pm$ 0.03,0.60 $\pm$ 0.05,0.59 $\pm$ 0.02,0.62 $\pm$ 0.03,0.62 $\pm$ 0.05,0.66 $\pm$ 0.03
po,EleutherAI-gpt-neo-1.3B,0.55 $\pm$ 0.09,0.61 $\pm$ 0.04,0.65 $\pm$ 0.05,0.68 $\pm$ 0.08,0.70 $\pm$ 0.04,0.67 $\pm$ 0.01
po,EleutherAI-gpt-neo-125M,0.51 $\pm$ 0.04,0.53 $\pm$ 0.05,0.60 $\pm$ 0.05,0.60 $\pm$ 0.05,0.60 $\pm$ 0.03,0.60 $\pm$ 0.03
po,bert-base-multilingual-cased,0.60 $\pm$ 0.05,0.64 $\pm$ 0.04,0.68 $\pm$ 0.06,0.67 $\pm$ 0.07,0.69 $\pm$ 0.01,**0.73 $\pm$ 0.03**
po,distilbert-base-multilingual-cased,0.59 $\pm$ 0.05,0.62 $\pm$ 0.04,0.65 $\pm$ 0.07,0.66 $\pm$ 0.06,0.68 $\pm$ 0.05,0.67 $\pm$ 0.03
po,facebook-mbart-large-50,0.61 $\pm$ 0.08,0.65 $\pm$ 0.06,0.68 $\pm$ 0.03,**0.73 $\pm$ 0.02**,0.69 $\pm$ 0.05,0.72 $\pm$ 0.03
po,gpt2,0.50 $\pm$ 0.05,0.59 $\pm$ 0.03,0.59 $\pm$ 0.07,0.61 $\pm$ 0.05,0.61 $\pm$ 0.05,0.61 $\pm$ 0.05
po,xlm-roberta-large,0.60 $\pm$ 0.06,0.63 $\pm$ 0.02,0.66 $\pm$ 0.05,0.68 $\pm$ 0.07,0.69 $\pm$ 0.05,0.70 $\pm$ 0.04
ru,EleutherAI-gpt-neo-1.3B,0.37 $\pm$ 0.06,0.55 $\pm$ 0.15,0.54 $\pm$ 0.06,0.55 $\pm$ 0.00,0.55 $\pm$ 0.07,0.51 $\pm$ 0.09
ru,EleutherAI-gpt-neo-125M,0.32 $\pm$ 0.05,0.38 $\pm$ 0.06,0.42 $\pm$ 0.09,0.42 $\pm$ 0.06,0.33 $\pm$ 0.04,0.29 $\pm$ 0.03
ru,bert-base-multilingual-cased,0.49 $\pm$ 0.02,0.56 $\pm$ 0.01,0.58 $\pm$ 0.02,0.60 $\pm$ 0.00,0.62 $\pm$ 0.02,0.63 $\pm$ 0.06
ru,distilbert-base-multilingual-cased,0.50 $\pm$ 0.07,0.55 $\pm$ 0.07,0.56 $\pm$ 0.05,0.60 $\pm$ 0.04,0.59 $\pm$ 0.05,0.60 $\pm$ 0.05
ru,facebook-mbart-large-50,0.53 $\pm$ 0.07,0.59 $\pm$ 0.02,0.60 $\pm$ 0.06,0.63 $\pm$ 0.06,0.64 $\pm$ 0.03,**0.68 $\pm$ 0.05**
ru,gpt2,0.32 $\pm$ 0.06,0.43 $\pm$ 0.13,0.38 $\pm$ 0.11,0.32 $\pm$ 0.02,0.36 $\pm$ 0.05,0.32 $\pm$ 0.06
ru,xlm-roberta-large,0.54 $\pm$ 0.02,0.57 $\pm$ 0.07,0.57 $\pm$ 0.05,0.59 $\pm$ 0.06,0.60 $\pm$ 0.03,0.63 $\pm$ 0.09
