language,model_name,unit_of_analysis,f1-micro_mean,f1-micro_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,EleutherAI-gpt-neo-1.3B,raw_text,0.6803382315968746,0.0215896218116801,0.7570356551631635,0.0362010370549741,0.6180276059998921,0.0150410432365122,0.7701650311381517,0.0107449969617405,0.1167437327168049,0.026871668052103
en,EleutherAI-gpt-neo-1.3B,title,0.6198358581849109,0.0285033548730649,0.6988415912789333,0.0392433320284583,0.5578610769854242,0.0340082934963824,0.7316422469146363,0.015480343439094,0.0583435332517339,0.0114925115943549
en,EleutherAI-gpt-neo-1.3B,title_and_10_sentences,0.6784072886985001,0.024101644542284,0.7716417651919105,0.0225768198617582,0.6053010128486518,0.0245339965528945,0.7676390897759582,0.0144186142370957,0.1147377487646765,0.0339660742823226
en,EleutherAI-gpt-neo-1.3B,title_and_5_sentences,0.6599229663513989,0.0179658402894897,0.7440413839520598,0.0360812971685995,0.5931651638568658,0.0064031428271127,0.7564392171402611,0.0095654771182757,0.095323904075434,0.0293976428601942
en,EleutherAI-gpt-neo-1.3B,title_and_first_paragraph,0.669201303143839,0.0175635731774743,0.760164281809048,0.0411029166225364,0.5983083635671521,0.0143120666909832,0.762167566309619,0.0088211725424107,0.1030758420599301,0.0240629777223419
en,EleutherAI-gpt-neo-1.3B,title_and_first_sentence_each_paragraph,0.6720216176315633,0.0156755485090043,0.7671407948735561,0.0261530620412303,0.5979682821747321,0.0097669830898368,0.7635145209532929,0.0072990124204628,0.1011151910784713,0.0259835344334023
en,EleutherAI-gpt-neo-125M,raw_text,0.6025595700666596,0.0240150414741136,0.6823358824490727,0.0394959811683452,0.5398102954475531,0.0183131301296228,0.7207231694098274,0.0128241097057909,0.0583435332517339,0.0153190565378253
en,EleutherAI-gpt-neo-125M,title,0.5248425270622828,0.023618774335399,0.621308687200957,0.0725346913723284,0.4561958779293275,0.0061774912423747,0.6728879446736915,0.0128178078661103,0.0272111156444081,0.0187124672560309
en,EleutherAI-gpt-neo-125M,title_and_10_sentences,0.6239418508141678,0.0206329370607819,0.6995051762823818,0.035076608536157,0.5633197207952763,0.0127992645419694,0.7343041854712192,0.0098676519974495,0.0739267419193979,0.0032562321299151
en,EleutherAI-gpt-neo-125M,title_and_5_sentences,0.6173315026647924,0.0045076260337513,0.7146463996843065,0.0381199064827549,0.5443701725491022,0.0154903785637193,0.7294943074626824,0.0014920709391672,0.0602928509905254,0.0220512635731064
en,EleutherAI-gpt-neo-125M,title_and_first_paragraph,0.5871615647587076,0.0191667762821947,0.6723936693017848,0.0496673338450338,0.5220299775995825,0.0072559653724505,0.7107427320573213,0.0096073072767558,0.0506029285099052,0.0122691603953551
en,EleutherAI-gpt-neo-125M,title_and_first_sentence_each_paragraph,0.6232351439099238,0.0063990853505129,0.6970260638897009,0.0171159424552108,0.5637463623666046,0.0073932993131937,0.7339162605013293,0.0026187613560624,0.0700507729271499,0.0102386235430369
en,bert-base-multilingual-cased,raw_text,0.6983363976345304,0.0143099580174443,0.7566294250912385,0.0255688626246558,0.6487718157697846,0.0167644803041041,0.7834921869430037,0.0068965682339243,0.0992452060383516,0.0204067205847835
en,bert-base-multilingual-cased,title,0.6388703184277129,0.02909553920832,0.7006033833020956,0.0439866122590763,0.587308033522854,0.0183996442640628,0.7445756883012001,0.0152196204854148,0.0699827734711455,0.0264835912066093
en,bert-base-multilingual-cased,title_and_10_sentences,0.6960248425117133,0.014571004921572,0.7542571571357178,0.0171916063788211,0.646180280527677,0.0138515293584572,0.7818894101749051,0.0071658116670721,0.1070198105081826,0.0091877515579967
en,bert-base-multilingual-cased,title_and_5_sentences,0.6927470726892753,0.0091561670090859,0.7522505082825665,0.012364546730514,0.6421309636074654,0.0140062950465654,0.779676120706121,0.0057198096862215,0.1069971440228478,0.0120753613180332
en,bert-base-multilingual-cased,title_and_first_paragraph,0.6752123390364951,0.0100359504708919,0.7464849699999583,0.0202595223221649,0.6169559921995208,0.0215203045568549,0.767385596523102,0.0066153893402776,0.0895439503150641,0.022354047643463
en,bert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.6893071129286935,0.0142924646894535,0.7506139815787064,0.0197851389134571,0.6379325607026244,0.0265965658488588,0.7773835497426599,0.009125836798253,0.1030871753025975,0.0117927604437602
en,distilbert-base-multilingual-cased,raw_text,0.6837873720767332,0.0177171457301393,0.7458169644163785,0.0284204318711995,0.6314337590163058,0.011834268779866,0.7735592087889489,0.0087238284802153,0.1050478262840564,0.0209986331513173
en,distilbert-base-multilingual-cased,title,0.6000140485956752,0.0457205165383615,0.6840563564485281,0.0663215284775677,0.5350701497032183,0.0369381964125339,0.7190663693376026,0.0254539202371693,0.0485969445577768,0.0203245964259903
en,distilbert-base-multilingual-cased,title_and_10_sentences,0.6809925166786487,0.0105414343811024,0.735633616986379,0.0302072800861536,0.6343595459815382,0.0054717286370484,0.772538474336582,0.002772995101875,0.1069858107801804,0.0119046314432772
en,distilbert-base-multilingual-cased,title_and_5_sentences,0.6736029268841565,0.013533784950084,0.727690633565782,0.0240679833066444,0.6272054920689821,0.0111288502354626,0.7676863501628383,0.0060029095520256,0.0973072215422276,0.0223086929496922
en,distilbert-base-multilingual-cased,title_and_first_paragraph,0.6483939222369072,0.012387459201505,0.7335095077669335,0.024401368341422,0.5811862691682368,0.0100373414155872,0.7492039595247056,0.0051271464091807,0.0836506641280203,0.0178124939509877
