language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,title_and_10_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.6210796809722224,0.4419914579230107,0.1411192214111922,0.7557949898634544,0.6552667021377855,0.5974025974025974,0.3999213902296444,0.5997764783733542,0.39509701008507125,0.10679611650485436,0.7641549094054683,0.6098631509913598,0.5525672371638142,0.3446350253250481
en,title_and_10_sentences,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5990146162647088,0.3877557296716307,0.08737864077669903,0.7693744448784872,0.613737510554461,0.5550122249388753,0.34027711615347433
en,title_and_10_sentences,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6326869834029051,0.43074360988905136,0.10679611650485436,0.779359716817671,0.618948220652743,0.5794621026894865,0.3721743906804117
en,title_and_10_sentences,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6427715375607821,0.433495728413058,0.11650485436893204,0.7601590697403655,0.5805252782931355,0.5941320293398533,0.3808521685330728
en,title_and_10_sentences,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6828736649779704,0.5377742786377707,0.05825242718446602,0.6788008049070353,0.5241097841212785,0.6992665036674817,0.5851146015967512
en,title_and_10_sentences,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9629373621684912,0.9511679112531182,0.7883211678832117,0.9570021574848466,0.9568712631306528,0.9703153988868275,0.9490047787356437,0.6729225483434644,0.5279252116728229,0.08737864077669903,0.7242399493293602,0.6029774083044052,0.6381418092909535,0.4879002742152508
en,title_and_10_sentences,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.9530045113818473,0.9442984040367025,0.7299270072992701,0.9606149807666673,0.9560363790731011,0.9474335188620903,0.9358107295068837,0.673361637940223,0.520269882923744,0.10679611650485436,0.7610663490826529,0.6436986484790513,0.6185819070904646,0.4553385425514728
en,title_and_10_sentences,LinearSVM,No Upsampling,LinearSVMDual,0.9226036961127563,0.8966432997997936,0.5523114355231143,0.8928962338159949,0.8399140961557322,0.9598021026592455,0.97379391204776,0.703427188643217,0.587257283922573,0.04854368932038835,0.7263983388088848,0.5863901389288386,0.6968215158924206,0.6321835882582238
en,title_and_10_sentences,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.936748689059403,0.9323455296869992,0.6326034063260341,0.9223464087942129,0.9025739846300843,0.9529993815708101,0.9668247195631106,0.692123275527312,0.5627559791938145,0.08737864077669903,0.7300090587950784,0.5878759573561688,0.6699266503667481,0.5662166245829423
en,title_and_10_sentences,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9392568107468968,0.9395144031902644,0.6690997566909975,0.9286602636438624,0.9216527231516561,0.9511440940012369,0.9597047684831742,0.6836431556703126,0.5470429298776277,0.11650485436893204,0.7391133812894204,0.6188600152885868,0.6454767726161369,0.5043865657015422
en,title_and_10_sentences,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6420747535320767,0.5175291829234332,0.019417475728155338,0.6560295385612873,0.5223648718375945,0.6381418092909535,0.5297526124869337
en,title_and_10_sentences,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6266215517404978,0.47046551717761664,0.019417475728155338,0.6726212561937647,0.5336735546931951,0.5990220048899756,0.4345564481251128
en,title_and_10_sentences,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6185348770101786,0.4423740114850661,0.02912621359223301,0.6609655014177653,0.4921370225172902,0.5916870415647921,0.41260305699683836
en,title_and_10_sentences,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6260441792353425,0.47096642750667517,0.02912621359223301,0.6708117480330534,0.5355867275139722,0.5990220048899756,0.43435140156748264
en,title_and_10_sentences,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6117583137037289,0.44028194747701743,0.009708737864077669,0.6523181739691841,0.48255686530122627,0.5843520782396088,0.41406304491709023
