language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.6068101460677345,0.42806494420769664,0.1070559610705596,0.7476932082644042,0.622033617525456,0.5701917130488559,0.3801612428294803,0.5804094279254876,0.37172251835378173,0.0970873786407767,0.7695593862611695,0.6147596534585885,0.5330073349633252,0.32064088496290094
en,title_and_first_paragraph,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5800388291018486,0.36846153963995204,0.0970873786407767,0.7196273433410204,0.5477211287230805,0.5330073349633252,0.31934936577624506
en,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6075705004318201,0.39881506611646284,0.1262135922330097,0.7323527035866337,0.5634991203539591,0.5550122249388753,0.3465016094610015
en,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5758958212467902,0.364988443826988,0.10679611650485436,0.7164776290594573,0.5459172910209776,0.5281173594132029,0.3158309867996022
en,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5570369695521502,0.35229982692087874,0.10679611650485436,0.7096463257279185,0.5436221961884198,0.508557457212714,0.30210987408994155
en,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9639384622270456,0.9505143105456957,0.7858880778588808,0.9522260023903673,0.9250987431676915,0.9771181199752629,0.9808186920376464,0.6534128621074258,0.4807624489422823,0.07766990291262135,0.7133589210550805,0.5583583642951546,0.6161369193154034,0.4408962043513706
en,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.9881993477588794,0.9812222616112399,0.9245742092457421,0.9787369011696834,0.9644542737735812,0.9981447124304267,0.9990759637188209,0.6647909889080091,0.4952073057025858,0.05825242718446602,0.6952976697743792,0.5259949153705358,0.6454767726161369,0.4808835830712754
en,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVMDual,0.9778064890773005,0.9642006782991315,0.8564476885644768,0.962243289753927,0.9355157669218215,0.9950525664811379,0.9974688483807762,0.6744723619528051,0.5005961096449231,0.05825242718446602,0.6934135824027519,0.5227532041733638,0.6650366748166259,0.4950307978787706
en,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.9947957377854623,0.9928607202646448,0.975669099756691,0.9909229989098528,0.9865940045410343,0.9987631416202845,0.9993594104308391,0.6387208644299036,0.46497190899725416,0.05825242718446602,0.7057249620156829,0.5827548247589839,0.6014669926650367,0.4209720480429383
en,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9727754406746222,0.9649312091407845,0.8467153284671532,0.968553947836908,0.9542638492099652,0.9777365491651205,0.9777081571527843,0.6532074099330575,0.48666996227938164,0.07766990291262135,0.7276986049836021,0.6017367387800906,0.60880195599022,0.4319211933501515
en,title_and_first_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6280467679724784,0.435517490948102,0.038834951456310676,0.6596510103600945,0.48001935551139446,0.6112469437652812,0.4197300718422599
en,title_and_first_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6164312492605254,0.4280198551161285,0.04854368932038835,0.6738633524607263,0.5390511143295971,0.5916870415647921,0.3949362484518747
en,title_and_first_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6067282518533706,0.42255429745722034,0.05825242718446602,0.6700141695226203,0.5166486878231255,0.5745721271393643,0.3852858556058748
en,title_and_first_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6116918590463704,0.4271516125092388,0.05825242718446602,0.6757823834071862,0.5462615862986181,0.5819070904645477,0.3877990812198879
en,title_and_first_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6151871625905575,0.411874566184765,0.04854368932038835,0.6504899899594193,0.44810494419092534,0.5941320293398533,0.39232418477153314
en,title_and_first_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6410816281595533,0.4638179190516067,0.05825242718446602,0.6774872299005077,0.5188916819255674,0.6185819070904646,0.43758371157894754
en,title_and_first_paragraph,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6190891918101691,0.43183922165412325,0.05825242718446602,0.6758335350007509,0.5440272547638421,0.5916870415647921,0.3955898382641832
en,title_and_first_paragraph,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6224957305166658,0.43504434573076284,0.05825242718446602,0.6779256194699808,0.5463384252712353,0.5965770171149144,0.3998292151743676
en,title_and_first_paragraph,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6139909233341738,0.4262685673381628,0.05825242718446602,0.6747234026837654,0.5417951119066992,0.5843520782396088,0.38798830088697517
en,title_and_first_paragraph,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6178474691773492,0.42391759435409304,0.06796116504854369,0.6689723396132814,0.5262043113663294,0.5941320293398533,0.39208823437059326
en,title_and_first_paragraph,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6312767893454104,0.445550625465388,0.05825242718446602,0.6776365468791401,0.4923952069172658,0.6014669926650367,0.4256242488674631
en,title_and_first_paragraph,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.60644973231386,0.4095853210213389,0.04854368932038835,0.65457217480487,0.4633539278831473,0.5794621026894865,0.38686162260483686
en,title_and_first_paragraph,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6304315385152447,0.4717311413109875,0.04854368932038835,0.6759952980326641,0.5465581598954022,0.6014669926650367,0.43385273352766995
en,title_and_first_paragraph,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6134373850905289,0.41519363405633164,0.05825242718446602,0.6762879001965438,0.4832909393258293,0.5745721271393643,0.381550907401802
