language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17584695569770195,0.07116204690831555,0.0,0.22921390778533635,0.11394557823129252,0.21428571428571427,0.08163265306122448
fr,title_and_first_paragraph,KNN,No Upsampling,kNN,0.39730957406494777,0.2608335978509307,0.07692307692307693,0.6006535775818893,0.43494848139687575,0.31683168316831684,0.20154882711273686,0.22257495590828924,0.13800802372230944,0.047619047619047616,0.31893424036281176,0.2173469387755102,0.1984126984126984,0.12455009276437848
fr,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22257495590828924,0.13800802372230944,0.047619047619047616,0.31893424036281176,0.2173469387755102,0.1984126984126984,0.12455009276437848
fr,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,0.3314858357389475,0.19607153401045693,0.04142011834319527,0.5461746174617461,0.38961038961038963,0.3564356435643564,0.20344473821917433,0.17584695569770195,0.07116204690831555,0.0,0.22921390778533635,0.11394557823129252,0.21428571428571427,0.08163265306122448
fr,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3444267008306417,0.28065690467168297,0.047619047619047616,0.4539682539682539,0.4059523809523809,0.30952380952380953,0.2486935683364255
fr,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9866787452961171,0.9829259553207891,0.9289940828402367,0.9743511353037176,0.9671133390646247,1.0,1.0,0.38633517809582973,0.3185281771278012,0.047619047619047616,0.4390524728409882,0.36839569160997726,0.373015873015873,0.30544990723562154
fr,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40830108696650047,0.3436415558126084,0.07142857142857142,0.4950904435848414,0.42995031345871687,0.38095238095238093,0.31437847866419294
fr,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3995641448962251,0.33423984641089904,0.07142857142857142,0.48159838009277783,0.4192360277444311,0.373015873015873,0.30544990723562154
fr,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.405012136058502,0.34036229539049084,0.07142857142857142,0.5079778207579327,0.4404945311457916,0.373015873015873,0.3078849721706864
fr,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3942655619772495,0.3128525064786742,0.047619047619047616,0.5458861607320992,0.44526785073003566,0.35714285714285715,0.28109925788497214
fr,title_and_first_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4276641233474373,0.3747401472575689,0.047619047619047616,0.4780092592592592,0.4223214285714287,0.4126984126984127,0.35941558441558435
fr,title_and_first_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3568724680128189,0.28783597146379103,0.047619047619047616,0.4360948082936879,0.3691143123916233,0.3253968253968254,0.2565166975881262
fr,title_and_first_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36165643972661515,0.29034812305489,0.07142857142857142,0.42986030669577774,0.3597128325014216,0.3412698412698413,0.2695037105751391
fr,title_and_first_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34643215783566667,0.2717112044179713,0.07142857142857142,0.388618312822205,0.31466270718813844,0.3333333333333333,0.25725881261595546
fr,title_and_first_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3594470935636349,0.322211576017967,0.047619047619047616,0.4099739895958383,0.38724489795918365,0.3412698412698413,0.29640538033395175
fr,title_and_first_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43643534140903817,0.3866116985198765,0.023809523809523808,0.4667032992534246,0.4063147587583678,0.4365079365079365,0.3900046382189239
fr,title_and_first_paragraph,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.385316003452361,0.32543917533700917,0.07142857142857142,0.4485827664399093,0.39676870748299314,0.36507936507936506,0.30074211502782927
fr,title_and_first_paragraph,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37618441963680055,0.3006770015698587,0.047619047619047616,0.44175054037209427,0.36520467836257314,0.35714285714285715,0.2810451453308596
fr,title_and_first_paragraph,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3726149036612696,0.29603995106814657,0.07142857142857142,0.44176466883049514,0.36175303454715213,0.3492063492063492,0.273956400742115
fr,title_and_first_paragraph,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3834905765356893,0.30181917080413323,0.047619047619047616,0.4495614035087719,0.35714285714285715,0.36507936507936506,0.28492578849721706
fr,title_and_first_paragraph,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40877017473656124,0.3593504068293985,0.0,0.5282261102136878,0.4533507382886265,0.3888888888888889,0.34055194805194805
fr,title_and_first_paragraph,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42312330337540416,0.3534256044760246,0.023809523809523808,0.5424641725883962,0.4586893954906377,0.40476190476190477,0.3335111317254174
