language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,raw_text,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.5790802592728049,0.44246313988952074,0.11347517730496454,0.6498966431026479,0.5878368016075258,0.576214405360134,0.4222432907809441,0.44873800837029915,0.32788950037217374,0.02857142857142857,0.49221198697942875,0.38112588469731323,0.47093023255813954,0.34847798768630256
ge,raw_text,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4479991619526503,0.30800360800360804,0.0,0.4101685933765277,0.29308030904669563,0.5116279069767442,0.3518762768265201
ge,raw_text,KNN,Random Oversampling,kNN_ROS,0.5790802592728049,0.44246313988952074,0.11347517730496454,0.6498966431026479,0.5878368016075258,0.576214405360134,0.4222432907809441,0.44873800837029915,0.32788950037217374,0.02857142857142857,0.49221198697942875,0.38112588469731323,0.47093023255813954,0.34847798768630256
ge,raw_text,KNN,SMOTE,kNN_SMOTE,0.5245071403230466,0.3739247853652633,0.07801418439716312,0.6737982747368458,0.612558622061793,0.5443886097152428,0.3750735178562454,0.4167004445186398,0.27531570585653303,0.0,0.3822529367817005,0.25141099502001757,0.45930232558139533,0.30575212541156815
ge,raw_text,KNN,SVMSMOTE,kNN_SVMSMOTE,0.48375099512085956,0.32789017185806657,0.09219858156028368,0.5889284562999391,0.48595721885594517,0.5108877721943048,0.3408246892569195,0.4450063421312407,0.30544555506334686,0.0,0.4395546105525055,0.3340083049134773,0.4883720930232558,0.332219291225262
ge,raw_text,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44730450022012475,0.3109149332016282,0.0,0.5001135734420619,0.3683127597131356,0.4476744186046512,0.31642525431225127
ge,raw_text,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4518633780348165,0.31386277900661685,0.0,0.5029564256992437,0.3701509950072533,0.45348837209302323,0.32018465280849184
ge,raw_text,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44366445977523095,0.3090515791643611,0.0,0.49920750276854925,0.3678489378207423,0.4418604651162791,0.3134490638360608
ge,raw_text,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44730450022012475,0.3109149332016282,0.0,0.5001135734420619,0.3683127597131356,0.4476744186046512,0.31642525431225127
ge,raw_text,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44730450022012475,0.3109149332016282,0.0,0.5001135734420619,0.3683127597131356,0.4476744186046512,0.31642525431225127
ge,raw_text,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5179246091522999,0.4085421442232074,0.0,0.5156287976968912,0.4029634102444806,0.5348837209302325,0.4298247369123088
ge,raw_text,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4616673652366271,0.323513909378571,0.02857142857142857,0.5179338701654024,0.38251427365204455,0.45930232558139533,0.32891481153865054
ge,raw_text,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46699039285583377,0.32534183935785765,0.02857142857142857,0.5167929292929293,0.38124613481756336,0.47093023255813954,0.3329076367389061
ge,raw_text,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47363116722916626,0.3377758125061165,0.02857142857142857,0.5197507306305185,0.3856403925206446,0.47093023255813954,0.3402593493537766
ge,raw_text,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4715973557706302,0.333621252712459,0.02857142857142857,0.5186748329190188,0.3914240521383378,0.47674418604651164,0.3379321026656276
ge,raw_text,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5306593646892336,0.42763453437262394,0.0,0.5409768364710225,0.44038698812858484,0.5406976744186046,0.4378769929024241
ge,raw_text,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5336070424050399,0.42720277432609344,0.0,0.5347612434684939,0.4294839450931888,0.5523255813953488,0.44539578989490536
ge,raw_text,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5287244011725504,0.42064604755106194,0.0,0.5521113825160544,0.448474864254002,0.5290697674418605,0.4182520376571682
ge,raw_text,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46979145671006134,0.33276560955132384,0.0,0.5099296205630355,0.3857456140350877,0.48255813953488375,0.343859912386007
ge,raw_text,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5202350396968508,0.40166378423830607,0.0,0.5304434999584938,0.41623959791253023,0.5290697674418605,0.4063651776500073
ge,raw_text,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5363516296742836,0.43998046372846983,0.0,0.5614607453270245,0.47093511647083075,0.5348837209302325,0.4403034020625794
ge,raw_text,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5423598565580581,0.4281020145497481,0.0,0.5522438870178479,0.4423951960646959,0.5523255813953488,0.4356273211038802
ge,raw_text,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5228823542158526,0.4197423118315776,0.0,0.5622980395038828,0.4681745772298241,0.5116279069767442,0.4057087747379654
ge,raw_text,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5005618849330357,0.4085467369467401,0.0,0.5549716433437364,0.5128272521129664,0.4941860465116279,0.39481108232766793
ge,raw_text,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49614146115797253,0.3658707157484744,0.0,0.5065549997339152,0.38059551051541896,0.5058139534883721,0.37433710326235753
ge,raw_text,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4695273692366716,0.3383636940967768,0.0,0.5138565891472868,0.3922201336675021,0.47674418604651164,0.34654519702617886
ge,raw_text,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46675306989260484,0.3323380530711358,0.0,0.5101744186046512,0.38507727652464496,0.47674418604651164,0.34427762333003376
ge,raw_text,LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5228419737321438,0.40556758493284356,0.02857142857142857,0.5198771770864794,0.41919913419913424,0.5581395348837209,0.43360282709575054
ge,raw_text,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidgeDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46857088489520327,0.33741663382920783,0.0,0.5112017911310126,0.3882605063383096,0.47674418604651164,0.34777068722225735
