language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
it,title_and_10_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37331374702084086,0.26442137645145164,0.11666666666666667,0.5724364765669113,0.4364332096474954,0.30869565217391304,0.2132478332478332
it,title_and_10_sentences,KNN,No Upsampling,kNN,0.3802058555831125,0.2749429344838008,0.07407407407407407,0.5875613424999647,0.4651025068528129,0.3042071197411003,0.2164931435750365,0.350069337484965,0.24425955132986457,0.1,0.49243048332293193,0.3597383610541505,0.2826086956521739,0.19330735705735705
it,title_and_10_sentences,KNN,Random Oversampling,kNN_ROS,0.6095449686159594,0.5597707159490113,0.01646090534979424,0.524435154464672,0.4638367257301729,0.7594390507011867,0.7515134089273222,0.5486773528206215,0.44674504934117876,0.016666666666666666,0.4901543282461636,0.37929856154143693,0.6608695652173913,0.5968130652059224
it,title_and_10_sentences,KNN,SMOTE,kNN_SMOTE,0.4246202920348448,0.3152878882008102,0.08641975308641975,0.6498515198305794,0.5673796791443849,0.36461704422869473,0.26405573620613193,0.4095694446897512,0.2936296044649219,0.1,0.5565697329052494,0.43197085301700283,0.34782608695652173,0.2443708475851333
it,title_and_10_sentences,KNN,SVMSMOTE,kNN_SVMSMOTE,0.3704732045965479,0.2658130164350536,0.06584362139917696,0.5602749124611132,0.44670733673671525,0.30960086299892126,0.2175882437830288,0.3628503420129108,0.25483440109899874,0.08333333333333333,0.5145703974664276,0.37282191928154657,0.2956521739130435,0.2055821155821156
it,title_and_10_sentences,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9989287769223044,0.9990033990033991,0.9958847736625515,0.9978723860201881,0.9980212970918273,1.0,1.0,0.478048062686204,0.37063484725686086,0.06666666666666667,0.5990588612809399,0.5220522393363771,0.43043478260869567,0.32288896681753826
it,title_and_10_sentences,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.9994652357111905,0.9993894993894994,0.9958847736625515,0.998939535223886,0.9987893462469734,1.0,1.0,0.47049465750137065,0.3646717763900287,0.06666666666666667,0.5509820169659987,0.45413154097364616,0.4260869565217391,0.32170914135199846
it,title_and_10_sentences,LinearSVM,No Upsampling,LinearSVMDual,0.9989287769223044,0.9990033990033991,0.9958847736625515,0.9978723860201881,0.9980212970918273,1.0,1.0,0.47533317195004887,0.3702618364848463,0.06666666666666667,0.5454989442730961,0.45027939932647343,0.43478260869565216,0.3300579354150782
it,title_and_10_sentences,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.9978627709642988,0.997315902299291,0.9876543209876543,0.9957651957455221,0.9946902531357834,1.0,1.0,0.4857278375652345,0.3756580357402776,0.06666666666666667,0.5555452035886819,0.4563208616780045,0.44782608695652176,0.33684173219887503
it,title_and_10_sentences,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9973059319739358,0.9977274659721244,0.9876543209876543,0.9967917563770781,0.9973694480879447,0.9978425026968716,0.9981075310559007,0.45796360499654204,0.3428004496163675,0.08333333333333333,0.5401790511597111,0.43359195275578977,0.41739130434782606,0.30321338446338447
it,title_and_10_sentences,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4983767251422974,0.41323238979959803,0.03333333333333333,0.49236275801493196,0.40028582528582524,0.5173913043478261,0.44063361777647486
it,title_and_10_sentences,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46417750610985004,0.36318045116841535,0.06666666666666667,0.5200124298092161,0.4336935407587581,0.43478260869565216,0.33114828829114545
it,title_and_10_sentences,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4483254665363051,0.3408893675997147,0.06666666666666667,0.49885905398948877,0.39960230245944534,0.4217391304347826,0.31423419994848567
it,title_and_10_sentences,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45655272016883813,0.3557655260405804,0.06666666666666667,0.521706424220602,0.432344294766655,0.4217391304347826,0.31996382460668177
it,title_and_10_sentences,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42866696969488793,0.32411125520780387,0.06666666666666667,0.48530749776626836,0.3830208488829179,0.4,0.298076906291192
it,title_and_10_sentences,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48343022257697593,0.37244131725843416,0.06666666666666667,0.5173348028782812,0.4004739308310737,0.4608695652173913,0.35442181227895514
it,title_and_10_sentences,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4689892545241809,0.3698571865260725,0.06666666666666667,0.5540293974036885,0.4673118720478969,0.4217391304347826,0.32427292963007254
it,title_and_10_sentences,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.461269993715748,0.36661662493333524,0.06666666666666667,0.5575708430056255,0.4755196523053666,0.40869565217391307,0.3168067134138563
