language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
po,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.5044588472280213,0.39639641583450064,0.06451612903225806,0.7122338142597882,0.6648853565871099,0.4438573315719947,0.3320051194718377,0.3621548438299794,0.24372719338212762,0.0,0.4346239057029934,0.2958766689699753,0.3300970873786408,0.22131978297391833
po,title_and_first_paragraph,KNN,No Upsampling,kNN,0.6585623922726468,0.5839572583372571,0.14193548387096774,1.0,1.0,0.5151915455746368,0.4397631596976647,0.24130314158673896,0.17992021136757977,0.02564102564102564,0.3869656637860521,0.2937140240711669,0.1796116504854369,0.13347861411771184
po,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4291625564612429,0.3290013208080435,0.0,0.45297041146555717,0.3512480376766091,0.42718446601941745,0.3269698972706491
po,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4291625564612429,0.3290013208080435,0.0,0.45297041146555717,0.3512480376766091,0.42718446601941745,0.3269698972706491
po,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.5863287547592516,0.5021872109377356,0.09032258064516129,0.8321731721653967,0.8398290382512806,0.4900924702774108,0.4000028728205375,0.3045179340439192,0.23016026398379338,0.0,0.467910142874449,0.3569132198333879,0.23786407766990292,0.1785824451237985
po,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4753457480897018,0.41105676772056526,0.02564102564102564,0.5172261325057282,0.446137858979613,0.46601941747572817,0.40488668599570854
po,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.476561659826238,0.40982223905188914,0.0,0.5261956595971979,0.45515345031484516,0.46601941747572817,0.40264309625211886
po,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4756173852933201,0.41009230856418144,0.0,0.5002139216789958,0.4203025241927009,0.48058252427184467,0.4264199146717943
po,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4796594084968709,0.4121910396664091,0.02564102564102564,0.5200198477216872,0.44501228721153524,0.470873786407767,0.4091907152997379
po,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47188923947306904,0.40857336829725777,0.0,0.5243998932425094,0.45461424540371903,0.4563106796116505,0.39833906694808946
po,title_and_first_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4855657761541969,0.42496707299797626,0.0,0.5163994780489115,0.43175933132423616,0.4854368932038835,0.4446677382767608
po,title_and_first_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47444653356715427,0.4106997598918051,0.02564102564102564,0.5288573971574663,0.4578305591242344,0.45145631067961167,0.39119620980523234
po,title_and_first_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4719215575184282,0.40553439350143144,0.0,0.5307789181930651,0.45685266796777185,0.45145631067961167,0.39119620980523234
po,title_and_first_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4775871909386101,0.4096390093737544,0.0,0.5315241064063166,0.45741657774220795,0.4563106796116505,0.3935771621861847
po,title_and_first_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4710996805930884,0.4043586516933419,0.02564102564102564,0.5104500396081898,0.43040479083712163,0.4563106796116505,0.39833906694808946
po,title_and_first_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.498573899834376,0.433425521933733,0.0,0.5371941973883723,0.46638440924155206,0.49029126213592233,0.4350428393661477
po,title_and_first_paragraph,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47779341578940515,0.38668226110571463,0.0,0.5195737487774913,0.4256840148012043,0.470873786407767,0.3846896837498342
po,title_and_first_paragraph,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5017672999835693,0.4056520751233076,0.0,0.5422574997817716,0.45660371374657094,0.49514563106796117,0.39510135854120815
po,title_and_first_paragraph,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47674168150024054,0.4066319645267013,0.0,0.5398980738786563,0.4736870272584558,0.46116504854368934,0.3928350471583554
po,title_and_first_paragraph,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4832782229938642,0.4122342309849377,0.0,0.522464513130896,0.4495952874596895,0.48058252427184467,0.4174569165170669
po,title_and_first_paragraph,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4941545340335818,0.4145479755862987,0.0,0.6143404535905813,0.5306917497706971,0.42718446601941745,0.3565268378238303
po,title_and_first_paragraph,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48801269465126607,0.413345075518374,0.0,0.6354781758013746,0.5707177847215441,0.4223300970873786,0.35474112353811604
po,title_and_first_paragraph,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.9555191703276562,0.9639501298530309,0.6774193548387096,0.9844458855056374,0.9879090191271314,0.9286657859973579,0.9417167516572762,0.41716339333766594,0.3493988382156546,0.0,0.5724932073447208,0.48174509314215197,0.3446601941747573,0.2922559270303631
po,title_and_first_paragraph,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.8592023479802029,0.8807668979063816,0.2967741935483871,0.9511217026896863,0.9575201803306558,0.7873183619550859,0.8189099996106405,0.39671369791280026,0.3363724322147394,0.0,0.6257600274590566,0.5239177489177489,0.3106796116504854,0.27230563922293244
po,title_and_first_paragraph,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.7496713087562437,0.7959567090449998,0.1935483870967742,0.9182488545691069,0.9192457884813472,0.6605019815059445,0.7251845882989223,0.36289427514516936,0.3298219220211701,0.0,0.6148394485773127,0.5208410636982065,0.27184466019417475,0.262389365020944
po,title_and_first_paragraph,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.9631770227241955,0.9442685795191323,0.6967741935483871,0.9380927576635862,0.9030499907171113,0.9947159841479525,0.9965282421481644,0.5062670386799185,0.44740530087927466,0.0,0.5148770319211989,0.42249946789011844,0.5485436893203883,0.524533893424871
po,title_and_first_paragraph,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.9874413510940327,0.9781027622292469,0.896774193548387,0.977359405648429,0.9592926684896487,0.9986789960369881,0.9991974317817015,0.5042740441602518,0.45465951113803654,0.0,0.5066881347837752,0.42172824100489326,0.558252427184466,0.5522173941346874
po,title_and_first_paragraph,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4983792908160617,0.4305492283493484,0.02564102564102564,0.5351529528154553,0.45596691140507567,0.49514563106796117,0.4384947446037671
po,title_and_first_paragraph,LogisticRegressionRidge,SMOTE,LogisticRegressionRidgeDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4904282416782146,0.42757964634966567,0.0,0.5356613783522933,0.4677109370118833,0.4854368932038835,0.42602744999361547
