language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
po,title_and_first_sentence_each_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06582195162086556,0.048426150121065374,0.02564102564102564,0.0497883993029624,0.036630036630036625,0.0970873786407767,0.07142857142857142
po,title_and_first_sentence_each_paragraph,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03305594082293111,0.02465986394557823,0.0,0.11893203883495146,0.08928571428571429,0.019417475728155338,0.014473684210526316
po,title_and_first_sentence_each_paragraph,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03305594082293111,0.02465986394557823,0.0,0.11893203883495146,0.08928571428571429,0.019417475728155338,0.014473684210526316
po,title_and_first_sentence_each_paragraph,KNN,SMOTE,kNN_SMOTE,0.16030677271009758,0.0996550644902893,0.05806451612903226,0.2892203856443502,0.18861944777911166,0.14927344782034346,0.09189461997320383,0.06582195162086556,0.048426150121065374,0.02564102564102564,0.0497883993029624,0.036630036630036625,0.0970873786407767,0.07142857142857142
po,title_and_first_sentence_each_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06582195162086556,0.048426150121065374,0.02564102564102564,0.0497883993029624,0.036630036630036625,0.0970873786407767,0.07142857142857142
po,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5603343809475787,0.480927748194223,0.02564102564102564,0.6722206830647168,0.6458082240340305,0.5533980582524272,0.4539170103079878
po,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5717659062419899,0.4932741755662258,0.02564102564102564,0.6702485863650912,0.6407499345892204,0.5679611650485437,0.46743741847125314
po,title_and_first_sentence_each_paragraph,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5617629642002129,0.4808282881203384,0.02564102564102564,0.668956697858984,0.6399578838979761,0.558252427184466,0.45731837085220545
po,title_and_first_sentence_each_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.571508698720362,0.4920479072811341,0.02564102564102564,0.6661380320274777,0.6356424077074998,0.5728155339805825,0.47100884704268164
po,title_and_first_sentence_each_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5595944143338257,0.4816958425337459,0.02564102564102564,0.678234548622898,0.6547036297036298,0.5485436893203883,0.45094081983179735
