language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ru,raw_text,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20384073291050037,0.1341991341991342,0.02631578947368421,0.3042635658914729,0.19791666666666669,0.18604651162790697,0.12670068027210885
ru,raw_text,KNN,No Upsampling,kNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.258250276854928,0.20544217687074826,0.07894736842105263,0.31717352415026834,0.2631868131868132,0.23255813953488372,0.18069727891156462
ru,raw_text,KNN,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25013941232343656,0.16512328251458683,0.07894736842105263,0.31375968992248066,0.20297619047619048,0.23255813953488372,0.1577380952380952
ru,raw_text,KNN,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.045876737131704565,0.04145601617795753,0.0,0.02723378212974296,0.024436090225563905,0.1511627906976744,0.14285714285714285
ru,raw_text,KNN,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22724252491694355,0.15102040816326529,0.05263157894736842,0.3032200357781753,0.195839874411303,0.19767441860465115,0.13477891156462585
ru,raw_text,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9763755251702142,0.964095213928902,0.9019607843137255,0.9548241524323894,0.9322643527050005,1.0,1.0,0.3528480733193096,0.28822190758280986,0.10526315789473684,0.45929729185543144,0.3674706246134818,0.32558139534883723,0.2685374149659864
ru,raw_text,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3283889882727092,0.2516788766788767,0.13157894736842105,0.3976744186046512,0.3142857142857142,0.29069767441860467,0.21879251700680274
ru,raw_text,LinearSVM,No Upsampling,LinearSVMDual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3283889882727092,0.2516788766788767,0.13157894736842105,0.3976744186046512,0.3142857142857142,0.29069767441860467,0.21879251700680274
ru,raw_text,LinearSVM,Random Oversampling,LinearSVMDual_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3416624820847587,0.26270644560118245,0.10526315789473684,0.4712070874861572,0.3741496598639456,0.3023255813953488,0.22772108843537417
ru,raw_text,LinearSVM,SMOTE,LinearSVMDual_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3283889882727092,0.2516788766788767,0.13157894736842105,0.3976744186046512,0.3142857142857142,0.29069767441860467,0.21879251700680274
ru,raw_text,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38149345714325195,0.2910761779459259,0.10526315789473684,0.40096899224806204,0.3012755102040816,0.3953488372093023,0.3114795918367347
ru,raw_text,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2817211442241572,0.1811811152906859,0.10526315789473684,0.36770906741836973,0.22855339105339106,0.2441860465116279,0.1630952380952381
ru,raw_text,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29415716674266607,0.19517040149393092,0.07894736842105263,0.44603594080338266,0.2996212121212122,0.2441860465116279,0.1630952380952381
ru,raw_text,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30949612403100774,0.2388888888888889,0.10526315789473684,0.39689922480620154,0.31190476190476185,0.26744186046511625,0.20476190476190476
ru,raw_text,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3173526860736163,0.24671273171273173,0.10526315789473684,0.3911909795630726,0.3121212121212121,0.27906976744186046,0.21369047619047618
