model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.26 $\pm$ 0.02,0.30 $\pm$ 0.02,0.31 $\pm$ 0.03,0.36 $\pm$ 0.02,0.30 $\pm$ 0.01,0.37 $\pm$ 0.01
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.15 $\pm$ 0.01,0.16 $\pm$ 0.00,0.17 $\pm$ 0.02,0.16 $\pm$ 0.01,0.17 $\pm$ 0.02,0.18 $\pm$ 0.01
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.44 $\pm$ 0.01,0.45 $\pm$ 0.04,0.49 $\pm$ 0.03,0.49 $\pm$ 0.03,0.50 $\pm$ 0.01,0.55 $\pm$ 0.04
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.45 $\pm$ 0.01,0.41 $\pm$ 0.02,0.42 $\pm$ 0.01,0.46 $\pm$ 0.01,0.47 $\pm$ 0.02,0.49 $\pm$ 0.01
KNN,No Upsampling,kNN,0.36 $\pm$ 0.02,0.33 $\pm$ 0.02,0.35 $\pm$ 0.03,0.41 $\pm$ 0.03,0.38 $\pm$ 0.02,0.45 $\pm$ 0.03
KNN,Random Oversampling,kNN_ROS,0.44 $\pm$ 0.01,0.41 $\pm$ 0.01,0.44 $\pm$ 0.01,0.47 $\pm$ 0.02,0.47 $\pm$ 0.01,0.51 $\pm$ 0.01
KNN,SMOTE,kNN_SMOTE,0.44 $\pm$ 0.01,0.42 $\pm$ 0.02,0.44 $\pm$ 0.02,0.47 $\pm$ 0.03,0.47 $\pm$ 0.01,0.50 $\pm$ 0.01
KNN,SVMSMOTE,kNN_SVMSMOTE,0.41 $\pm$ 0.01,0.39 $\pm$ 0.04,0.42 $\pm$ 0.01,0.45 $\pm$ 0.02,0.45 $\pm$ 0.01,0.50 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.41 $\pm$ 0.04,0.42 $\pm$ 0.02,0.47 $\pm$ 0.01,0.48 $\pm$ 0.03,0.49 $\pm$ 0.01,0.52 $\pm$ 0.03
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.43 $\pm$ 0.03,0.41 $\pm$ 0.01,0.47 $\pm$ 0.01,0.47 $\pm$ 0.04,0.49 $\pm$ 0.01,0.52 $\pm$ 0.02
LinearSVM,No Upsampling,LinearSVMDual,0.42 $\pm$ 0.00,0.43 $\pm$ 0.02,0.48 $\pm$ 0.02,0.48 $\pm$ 0.03,0.49 $\pm$ 0.01,0.53 $\pm$ 0.02
LinearSVM,RakelD Partitioning of labels,RakelD_LinearSVM,0.42 $\pm$ 0.00,0.42 $\pm$ 0.02,0.48 $\pm$ 0.01,0.48 $\pm$ 0.02,0.50 $\pm$ 0.01,0.53 $\pm$ 0.00
LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.42 $\pm$ 0.00,0.42 $\pm$ 0.02,0.48 $\pm$ 0.01,0.48 $\pm$ 0.02,0.48 $\pm$ 0.01,0.52 $\pm$ 0.00
LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.42 $\pm$ 0.03,0.42 $\pm$ 0.02,0.47 $\pm$ 0.03,0.47 $\pm$ 0.01,0.49 $\pm$ 0.01,0.52 $\pm$ 0.02
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.41 $\pm$ 0.01,0.38 $\pm$ 0.03,0.40 $\pm$ 0.02,0.41 $\pm$ 0.03,0.45 $\pm$ 0.03,0.49 $\pm$ 0.01
LogisticRegression,No Upsampling,LogisticRegression,0.38 $\pm$ 0.01,0.34 $\pm$ 0.01,0.38 $\pm$ 0.02,0.39 $\pm$ 0.03,0.43 $\pm$ 0.03,0.46 $\pm$ 0.03
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.39 $\pm$ 0.01,0.34 $\pm$ 0.01,0.38 $\pm$ 0.01,0.39 $\pm$ 0.05,0.43 $\pm$ 0.01,0.46 $\pm$ 0.02
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.41 $\pm$ 0.01,0.34 $\pm$ 0.01,0.37 $\pm$ 0.01,0.39 $\pm$ 0.03,0.42 $\pm$ 0.02,0.46 $\pm$ 0.02
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.40 $\pm$ 0.01,0.34 $\pm$ 0.02,0.36 $\pm$ 0.01,0.39 $\pm$ 0.05,0.42 $\pm$ 0.01,0.45 $\pm$ 0.02
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.42 $\pm$ 0.00,0.39 $\pm$ 0.01,0.42 $\pm$ 0.03,0.44 $\pm$ 0.01,0.45 $\pm$ 0.01,0.51 $\pm$ 0.02
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.40 $\pm$ 0.02,0.38 $\pm$ 0.01,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01,0.46 $\pm$ 0.00,0.51 $\pm$ 0.01
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.41 $\pm$ 0.02,0.39 $\pm$ 0.01,0.44 $\pm$ 0.02,0.44 $\pm$ 0.01,0.44 $\pm$ 0.02,0.51 $\pm$ 0.01
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.41 $\pm$ 0.02,0.36 $\pm$ 0.01,0.43 $\pm$ 0.02,0.43 $\pm$ 0.01,0.45 $\pm$ 0.01,0.51 $\pm$ 0.03
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.41 $\pm$ 0.02,0.38 $\pm$ 0.02,0.43 $\pm$ 0.03,0.44 $\pm$ 0.01,0.46 $\pm$ 0.03,0.51 $\pm$ 0.00
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.42 $\pm$ 0.01,0.38 $\pm$ 0.03,0.41 $\pm$ 0.03,0.43 $\pm$ 0.02,0.44 $\pm$ 0.01,0.49 $\pm$ 0.01
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.41 $\pm$ 0.02,0.36 $\pm$ 0.02,0.41 $\pm$ 0.02,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01,0.51 $\pm$ 0.02
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.42 $\pm$ 0.02,0.35 $\pm$ 0.03,0.40 $\pm$ 0.01,0.44 $\pm$ 0.04,0.44 $\pm$ 0.04,0.51 $\pm$ 0.02
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.41 $\pm$ 0.00,0.35 $\pm$ 0.04,0.41 $\pm$ 0.01,0.42 $\pm$ 0.03,0.43 $\pm$ 0.03,0.51 $\pm$ 0.02
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.41 $\pm$ 0.01,0.36 $\pm$ 0.03,0.40 $\pm$ 0.02,0.43 $\pm$ 0.01,0.43 $\pm$ 0.04,0.50 $\pm$ 0.02
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidgeDual_BorderlineSMOTE,0.42 $\pm$ 0.03,0.43 $\pm$ 0.02,0.46 $\pm$ 0.02,0.48 $\pm$ 0.03,0.48 $\pm$ 0.01,0.52 $\pm$ 0.00
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidgeDual,0.42 $\pm$ 0.01,0.43 $\pm$ 0.02,0.48 $\pm$ 0.01,0.48 $\pm$ 0.02,0.49 $\pm$ 0.01,0.53 $\pm$ 0.02
LogisticRegressionRidge,RakelD Partitioning of labels,RakelD_LogisticRegression,0.44 $\pm$ 0.01,0.46 $\pm$ 0.03,0.48 $\pm$ 0.00,0.49 $\pm$ 0.02,0.50 $\pm$ 0.01,0.55 $\pm$ 0.02
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidgeDual_ROS,0.43 $\pm$ 0.04,0.42 $\pm$ 0.01,0.48 $\pm$ 0.01,0.47 $\pm$ 0.03,0.48 $\pm$ 0.00,0.53 $\pm$ 0.01
