model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.23 $\pm$ 0.02,0.24 $\pm$ 0.01,0.32 $\pm$ 0.01,0.33 $\pm$ 0.04,0.33 $\pm$ 0.01,0.33 $\pm$ 0.04
ComplementNB,RakelD Partitioning of labels,0.36 $\pm$ 0.03,0.41 $\pm$ 0.02,0.43 $\pm$ 0.01,0.49 $\pm$ 0.03,0.48 $\pm$ 0.02,0.51 $\pm$ 0.01
KNN,BorderlineSMOTE,0.35 $\pm$ 0.00,0.37 $\pm$ 0.01,0.40 $\pm$ 0.01,0.43 $\pm$ 0.01,0.43 $\pm$ 0.01,0.45 $\pm$ 0.02
KNN,No Upsampling,0.30 $\pm$ 0.03,0.30 $\pm$ 0.03,0.37 $\pm$ 0.01,0.36 $\pm$ 0.02,0.38 $\pm$ 0.04,0.42 $\pm$ 0.02
KNN,Random Oversampling,0.36 $\pm$ 0.01,0.36 $\pm$ 0.01,0.40 $\pm$ 0.01,0.43 $\pm$ 0.01,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01
KNN,SMOTE,0.36 $\pm$ 0.02,0.35 $\pm$ 0.01,0.40 $\pm$ 0.02,0.43 $\pm$ 0.01,0.44 $\pm$ 0.01,0.44 $\pm$ 0.01
KNN,SVMSMOTE,0.35 $\pm$ 0.01,0.28 $\pm$ 0.12,0.39 $\pm$ 0.02,0.43 $\pm$ 0.01,0.43 $\pm$ 0.02,0.46 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,0.37 $\pm$ 0.00,0.39 $\pm$ 0.01,0.44 $\pm$ 0.01,0.46 $\pm$ 0.02,0.46 $\pm$ 0.01,0.48 $\pm$ 0.01
LinearSVM,No Upsampling,0.37 $\pm$ 0.01,0.40 $\pm$ 0.02,0.43 $\pm$ 0.01,0.46 $\pm$ 0.03,0.46 $\pm$ 0.01,0.49 $\pm$ 0.03
LinearSVM,RakelD Partitioning of labels,0.36 $\pm$ 0.01,0.41 $\pm$ 0.01,0.43 $\pm$ 0.02,0.46 $\pm$ 0.02,0.45 $\pm$ 0.01,0.50 $\pm$ 0.02
LinearSVM,Random Oversampling,0.37 $\pm$ 0.01,0.41 $\pm$ 0.03,0.43 $\pm$ 0.01,0.45 $\pm$ 0.03,0.46 $\pm$ 0.02,0.49 $\pm$ 0.01
LinearSVM,SMOTE,0.36 $\pm$ 0.01,0.39 $\pm$ 0.01,0.44 $\pm$ 0.01,0.46 $\pm$ 0.01,0.45 $\pm$ 0.01,0.48 $\pm$ 0.02
LogisticRegression,BorderlineSMOTE,0.30 $\pm$ 0.00,0.37 $\pm$ 0.01,0.36 $\pm$ 0.02,0.42 $\pm$ 0.01,0.41 $\pm$ 0.02,0.45 $\pm$ 0.02
LogisticRegression,No Upsampling,0.31 $\pm$ 0.02,0.33 $\pm$ 0.02,0.31 $\pm$ 0.04,0.40 $\pm$ 0.01,0.40 $\pm$ 0.02,0.42 $\pm$ 0.03
LogisticRegression,Random Oversampling,0.31 $\pm$ 0.01,0.33 $\pm$ 0.02,0.32 $\pm$ 0.03,0.40 $\pm$ 0.02,0.39 $\pm$ 0.02,0.42 $\pm$ 0.04
LogisticRegression,SMOTE,0.31 $\pm$ 0.02,0.34 $\pm$ 0.02,0.33 $\pm$ 0.04,0.40 $\pm$ 0.00,0.40 $\pm$ 0.01,0.43 $\pm$ 0.04
LogisticRegression,SVMSMOTE,0.30 $\pm$ 0.03,0.33 $\pm$ 0.02,0.32 $\pm$ 0.03,0.38 $\pm$ 0.01,0.38 $\pm$ 0.01,0.41 $\pm$ 0.03
