model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.54 $\pm$ 0.03,0.58 $\pm$ 0.02,0.58 $\pm$ 0.03,0.61 $\pm$ 0.02,0.60 $\pm$ 0.01,0.62 $\pm$ 0.03
ComplementNB,RakelD Partitioning of labels,0.61 $\pm$ 0.00,0.66 $\pm$ 0.03,0.65 $\pm$ 0.02,0.68 $\pm$ 0.02,0.71 $\pm$ 0.01,0.72 $\pm$ 0.01
KNN,BorderlineSMOTE,0.64 $\pm$ 0.01,0.67 $\pm$ 0.02,0.71 $\pm$ 0.03,0.72 $\pm$ 0.02,0.75 $\pm$ 0.01,**0.76 $\pm$ 0.02**
KNN,No Upsampling,0.54 $\pm$ 0.00,0.57 $\pm$ 0.02,0.60 $\pm$ 0.01,0.61 $\pm$ 0.02,0.64 $\pm$ 0.01,0.64 $\pm$ 0.03
KNN,Random Oversampling,0.65 $\pm$ 0.02,0.70 $\pm$ 0.05,0.69 $\pm$ 0.03,0.72 $\pm$ 0.03,0.74 $\pm$ 0.02,0.73 $\pm$ 0.01
KNN,SMOTE,0.66 $\pm$ 0.01,0.69 $\pm$ 0.01,0.67 $\pm$ 0.03,0.72 $\pm$ 0.02,0.75 $\pm$ 0.02,**0.76 $\pm$ 0.01**
KNN,SVMSMOTE,0.60 $\pm$ 0.03,0.66 $\pm$ 0.03,0.68 $\pm$ 0.03,0.70 $\pm$ 0.03,0.72 $\pm$ 0.02,0.72 $\pm$ 0.03
LinearSVM,BorderlineSMOTE,0.65 $\pm$ 0.01,0.68 $\pm$ 0.02,0.70 $\pm$ 0.04,0.72 $\pm$ 0.02,0.72 $\pm$ 0.03,0.73 $\pm$ 0.02
LinearSVM,No Upsampling,0.65 $\pm$ 0.01,0.68 $\pm$ 0.03,0.70 $\pm$ 0.04,0.71 $\pm$ 0.02,0.73 $\pm$ 0.02,0.74 $\pm$ 0.01
LinearSVM,RakelD Partitioning of labels,0.65 $\pm$ 0.02,0.67 $\pm$ 0.03,0.71 $\pm$ 0.04,0.71 $\pm$ 0.02,0.72 $\pm$ 0.02,0.71 $\pm$ 0.02
LinearSVM,Random Oversampling,0.65 $\pm$ 0.01,0.66 $\pm$ 0.03,0.68 $\pm$ 0.03,0.69 $\pm$ 0.02,0.71 $\pm$ 0.02,0.73 $\pm$ 0.01
LinearSVM,SMOTE,0.64 $\pm$ 0.01,0.69 $\pm$ 0.04,0.70 $\pm$ 0.03,0.72 $\pm$ 0.03,0.71 $\pm$ 0.02,0.74 $\pm$ 0.03
LogisticRegression,BorderlineSMOTE,0.58 $\pm$ 0.03,0.59 $\pm$ 0.03,0.62 $\pm$ 0.02,0.64 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01
LogisticRegression,No Upsampling,0.55 $\pm$ 0.02,0.57 $\pm$ 0.02,0.59 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.01
LogisticRegression,Random Oversampling,0.57 $\pm$ 0.03,0.57 $\pm$ 0.03,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.01
