model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.31 $\pm$ 0.02,0.28 $\pm$ 0.04,0.36 $\pm$ 0.03,0.38 $\pm$ 0.02,0.35 $\pm$ 0.03,0.44 $\pm$ 0.03
ComplementNB,RakelD Partitioning of labels,0.61 $\pm$ 0.06,0.66 $\pm$ 0.01,0.60 $\pm$ 0.04,0.63 $\pm$ 0.04,0.67 $\pm$ 0.00,0.61 $\pm$ 0.01
KNN,BorderlineSMOTE,0.67 $\pm$ 0.05,0.89 $\pm$ 0.16,0.73 $\pm$ 0.19,0.71 $\pm$ 0.02,0.70 $\pm$ 0.02,0.79 $\pm$ 0.06
KNN,No Upsampling,0.36 $\pm$ 0.02,0.40 $\pm$ 0.06,0.39 $\pm$ 0.05,0.44 $\pm$ 0.02,0.48 $\pm$ 0.02,0.49 $\pm$ 0.01
KNN,Random Oversampling,0.61 $\pm$ 0.07,0.60 $\pm$ 0.01,0.61 $\pm$ 0.02,0.65 $\pm$ 0.03,0.69 $\pm$ 0.01,0.74 $\pm$ 0.03
KNN,SMOTE,0.78 $\pm$ 0.14,0.74 $\pm$ 0.19,0.60 $\pm$ 0.02,0.71 $\pm$ 0.03,0.70 $\pm$ 0.02,0.82 $\pm$ 0.02
KNN,SVMSMOTE,0.80 $\pm$ 0.22,**0.99 $\pm$ 0.00**,**0.99 $\pm$ 0.01**,0.59 $\pm$ 0.04,0.57 $\pm$ 0.03,0.74 $\pm$ 0.05
LinearSVM,BorderlineSMOTE,0.51 $\pm$ 0.03,0.64 $\pm$ 0.03,0.60 $\pm$ 0.03,0.67 $\pm$ 0.03,0.69 $\pm$ 0.06,0.75 $\pm$ 0.03
LinearSVM,No Upsampling,0.54 $\pm$ 0.03,0.64 $\pm$ 0.03,0.63 $\pm$ 0.02,0.65 $\pm$ 0.03,0.70 $\pm$ 0.05,0.73 $\pm$ 0.07
LinearSVM,RakelD Partitioning of labels,0.54 $\pm$ 0.02,0.64 $\pm$ 0.03,0.63 $\pm$ 0.02,0.64 $\pm$ 0.03,0.69 $\pm$ 0.07,0.70 $\pm$ 0.04
LinearSVM,Random Oversampling,0.54 $\pm$ 0.01,0.62 $\pm$ 0.02,0.61 $\pm$ 0.02,0.68 $\pm$ 0.04,0.68 $\pm$ 0.05,0.72 $\pm$ 0.02
LinearSVM,SMOTE,0.51 $\pm$ 0.04,0.64 $\pm$ 0.03,0.58 $\pm$ 0.04,0.65 $\pm$ 0.00,0.68 $\pm$ 0.03,0.72 $\pm$ 0.02
LogisticRegression,BorderlineSMOTE,0.50 $\pm$ 0.02,0.46 $\pm$ 0.02,0.46 $\pm$ 0.01,0.49 $\pm$ 0.04,0.52 $\pm$ 0.04,0.56 $\pm$ 0.04
LogisticRegression,No Upsampling,0.49 $\pm$ 0.02,0.43 $\pm$ 0.01,0.39 $\pm$ 0.01,0.43 $\pm$ 0.02,0.45 $\pm$ 0.03,0.50 $\pm$ 0.04
LogisticRegression,Random Oversampling,0.48 $\pm$ 0.02,0.43 $\pm$ 0.01,0.38 $\pm$ 0.01,0.44 $\pm$ 0.02,0.46 $\pm$ 0.03,0.50 $\pm$ 0.04
LogisticRegression,SMOTE,0.50 $\pm$ 0.03,0.43 $\pm$ 0.01,0.39 $\pm$ 0.01,0.44 $\pm$ 0.03,0.46 $\pm$ 0.03,0.50 $\pm$ 0.03
LogisticRegression,SVMSMOTE,0.49 $\pm$ 0.02,0.43 $\pm$ 0.01,0.38 $\pm$ 0.01,0.42 $\pm$ 0.01,0.46 $\pm$ 0.02,0.50 $\pm$ 0.04
LogisticRegressionElasticNet,BorderlineSMOTE,0.50 $\pm$ 0.01,0.51 $\pm$ 0.03,0.52 $\pm$ 0.01,0.53 $\pm$ 0.01,0.52 $\pm$ 0.02,0.58 $\pm$ 0.02
LogisticRegressionElasticNet,No Upsampling,0.48 $\pm$ 0.02,0.51 $\pm$ 0.02,0.53 $\pm$ 0.01,0.59 $\pm$ 0.02,0.56 $\pm$ 0.02,0.64 $\pm$ 0.01
LogisticRegressionElasticNet,Random Oversampling,0.50 $\pm$ 0.02,0.48 $\pm$ 0.00,0.49 $\pm$ 0.02,0.53 $\pm$ 0.02,0.51 $\pm$ 0.03,0.59 $\pm$ 0.01
LogisticRegressionElasticNet,SMOTE,0.52 $\pm$ 0.04,0.47 $\pm$ 0.03,0.47 $\pm$ 0.02,0.52 $\pm$ 0.03,0.51 $\pm$ 0.01,0.58 $\pm$ 0.03
LogisticRegressionElasticNet,SVMSMOTE,0.49 $\pm$ 0.02,0.47 $\pm$ 0.02,0.47 $\pm$ 0.02,0.49 $\pm$ 0.02,0.52 $\pm$ 0.00,0.60 $\pm$ 0.03
