language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,Natively Multilabel,0.54 $\pm$ 0.03,0.58 $\pm$ 0.02,0.58 $\pm$ 0.03,0.61 $\pm$ 0.02,0.60 $\pm$ 0.01,0.62 $\pm$ 0.03
en,ComplementNB,RakelD Partitioning of labels,0.61 $\pm$ 0.00,0.66 $\pm$ 0.03,0.65 $\pm$ 0.02,0.68 $\pm$ 0.02,0.71 $\pm$ 0.01,0.72 $\pm$ 0.01
en,KNN,BorderlineSMOTE,0.64 $\pm$ 0.01,0.67 $\pm$ 0.02,0.71 $\pm$ 0.03,0.72 $\pm$ 0.02,0.75 $\pm$ 0.01,**0.76 $\pm$ 0.02**
en,KNN,No Upsampling,0.54 $\pm$ 0.00,0.57 $\pm$ 0.02,0.60 $\pm$ 0.01,0.61 $\pm$ 0.02,0.64 $\pm$ 0.01,0.64 $\pm$ 0.03
en,KNN,Random Oversampling,0.65 $\pm$ 0.02,0.70 $\pm$ 0.05,0.69 $\pm$ 0.03,0.72 $\pm$ 0.03,0.74 $\pm$ 0.02,0.73 $\pm$ 0.01
en,KNN,SMOTE,0.66 $\pm$ 0.01,0.69 $\pm$ 0.01,0.67 $\pm$ 0.03,0.72 $\pm$ 0.02,0.75 $\pm$ 0.02,**0.76 $\pm$ 0.01**
en,KNN,SVMSMOTE,0.60 $\pm$ 0.03,0.66 $\pm$ 0.03,0.68 $\pm$ 0.03,0.70 $\pm$ 0.03,0.72 $\pm$ 0.02,0.72 $\pm$ 0.03
en,LinearSVM,BorderlineSMOTE,0.65 $\pm$ 0.01,0.68 $\pm$ 0.02,0.70 $\pm$ 0.04,0.72 $\pm$ 0.02,0.72 $\pm$ 0.03,0.73 $\pm$ 0.02
en,LinearSVM,No Upsampling,0.65 $\pm$ 0.01,0.68 $\pm$ 0.03,0.70 $\pm$ 0.04,0.71 $\pm$ 0.02,0.73 $\pm$ 0.02,0.74 $\pm$ 0.01
en,LinearSVM,RakelD Partitioning of labels,0.65 $\pm$ 0.02,0.67 $\pm$ 0.03,0.71 $\pm$ 0.04,0.71 $\pm$ 0.02,0.72 $\pm$ 0.02,0.71 $\pm$ 0.02
en,LinearSVM,Random Oversampling,0.65 $\pm$ 0.01,0.66 $\pm$ 0.03,0.68 $\pm$ 0.03,0.69 $\pm$ 0.02,0.71 $\pm$ 0.02,0.73 $\pm$ 0.01
en,LinearSVM,SMOTE,0.64 $\pm$ 0.01,0.69 $\pm$ 0.04,0.70 $\pm$ 0.03,0.72 $\pm$ 0.03,0.71 $\pm$ 0.02,0.74 $\pm$ 0.03
en,LogisticRegression,BorderlineSMOTE,0.58 $\pm$ 0.03,0.59 $\pm$ 0.03,0.62 $\pm$ 0.02,0.64 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01
en,LogisticRegression,No Upsampling,0.55 $\pm$ 0.02,0.57 $\pm$ 0.02,0.59 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.01
en,LogisticRegression,Random Oversampling,0.57 $\pm$ 0.03,0.57 $\pm$ 0.03,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.01
en,LogisticRegression,SMOTE,0.57 $\pm$ 0.03,0.57 $\pm$ 0.03,0.59 $\pm$ 0.02,0.62 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.01
en,LogisticRegression,SVMSMOTE,0.56 $\pm$ 0.02,0.57 $\pm$ 0.03,0.60 $\pm$ 0.02,0.60 $\pm$ 0.01,0.62 $\pm$ 0.01,0.63 $\pm$ 0.01
en,LogisticRegressionElasticNet,BorderlineSMOTE,0.59 $\pm$ 0.03,0.63 $\pm$ 0.03,0.63 $\pm$ 0.01,0.65 $\pm$ 0.01,0.67 $\pm$ 0.01,0.67 $\pm$ 0.02
en,LogisticRegressionElasticNet,No Upsampling,0.59 $\pm$ 0.02,0.62 $\pm$ 0.02,0.63 $\pm$ 0.02,0.64 $\pm$ 0.01,0.66 $\pm$ 0.01,0.70 $\pm$ 0.03
en,LogisticRegressionElasticNet,Random Oversampling,0.58 $\pm$ 0.03,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02,0.64 $\pm$ 0.01,0.65 $\pm$ 0.01,0.68 $\pm$ 0.02
en,LogisticRegressionElasticNet,SMOTE,0.57 $\pm$ 0.04,0.62 $\pm$ 0.02,0.62 $\pm$ 0.02,0.64 $\pm$ 0.01,0.64 $\pm$ 0.01,0.68 $\pm$ 0.02
en,LogisticRegressionElasticNet,SVMSMOTE,0.56 $\pm$ 0.04,0.62 $\pm$ 0.03,0.62 $\pm$ 0.00,0.66 $\pm$ 0.03,0.65 $\pm$ 0.02,0.68 $\pm$ 0.02
en,LogisticRegressionLasso,BorderlineSMOTE,0.58 $\pm$ 0.03,0.62 $\pm$ 0.03,0.64 $\pm$ 0.02,0.65 $\pm$ 0.01,0.65 $\pm$ 0.02,0.69 $\pm$ 0.02
