model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.00 $\pm$ 0.00,**0.04 $\pm$ 0.02**
ComplementNB,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01
KNN,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
LinearSVM,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
LogisticRegression,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.00
LogisticRegressionElasticNet,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
LogisticRegressionLasso,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
LogisticRegressionRidge,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
Multi-label ARAM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.02 $\pm$ 0.00,0.00 $\pm$ 0.00
Multilabel k Nearest Neighbours,0.01 $\pm$ 0.01,0.01 $\pm$ 0.02,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02
NaiveBayes,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01
RandomForest,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02
RidgeClassifier,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01
SVM,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
XGBoost,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.02,0.01 $\pm$ 0.01
