language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,0.05 $\pm$ 0.02,0.06 $\pm$ 0.02,0.08 $\pm$ 0.03,0.08 $\pm$ 0.01,0.10 $\pm$ 0.03,**0.11 $\pm$ 0.01**
en,ComplementNB,0.05 $\pm$ 0.02,0.05 $\pm$ 0.01,0.08 $\pm$ 0.02,0.05 $\pm$ 0.02,0.06 $\pm$ 0.02,0.04 $\pm$ 0.02
en,KNN,0.01 $\pm$ 0.00,0.03 $\pm$ 0.00,0.03 $\pm$ 0.01,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01
en,LinearSVM,0.01 $\pm$ 0.00,0.04 $\pm$ 0.02,0.04 $\pm$ 0.01,0.05 $\pm$ 0.01,0.05 $\pm$ 0.01,0.06 $\pm$ 0.01
en,LogisticRegression,0.02 $\pm$ 0.01,0.03 $\pm$ 0.00,0.06 $\pm$ 0.01,0.03 $\pm$ 0.01,0.06 $\pm$ 0.01,0.06 $\pm$ 0.01
en,LogisticRegressionElasticNet,0.01 $\pm$ 0.01,0.05 $\pm$ 0.01,0.05 $\pm$ 0.01,0.04 $\pm$ 0.01,0.05 $\pm$ 0.01,0.06 $\pm$ 0.03
en,LogisticRegressionLasso,0.01 $\pm$ 0.00,0.04 $\pm$ 0.01,0.03 $\pm$ 0.00,0.04 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.02
en,LogisticRegressionRidge,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.03 $\pm$ 0.02,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01,0.05 $\pm$ 0.00
en,Multi-label ARAM,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.00
en,Multilabel k Nearest Neighbours,0.04 $\pm$ 0.02,0.07 $\pm$ 0.02,0.07 $\pm$ 0.02,0.10 $\pm$ 0.03,**0.11 $\pm$ 0.03**,0.09 $\pm$ 0.01
en,NaiveBayes,0.05 $\pm$ 0.01,0.05 $\pm$ 0.02,0.05 $\pm$ 0.02,0.04 $\pm$ 0.00,0.04 $\pm$ 0.02,0.04 $\pm$ 0.02
