model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.35 $\pm$ 0.06,0.35 $\pm$ 0.05,0.24 $\pm$ 0.03,0.36 $\pm$ 0.03,0.28 $\pm$ 0.02,0.39 $\pm$ 0.02
ComplementNB,0.49 $\pm$ 0.03,0.51 $\pm$ 0.03,0.52 $\pm$ 0.01,0.51 $\pm$ 0.02,0.54 $\pm$ 0.03,0.59 $\pm$ 0.01
KNN,0.49 $\pm$ 0.03,0.51 $\pm$ 0.03,0.50 $\pm$ 0.01,0.50 $\pm$ 0.02,0.53 $\pm$ 0.03,0.58 $\pm$ 0.03
LinearSVM,0.46 $\pm$ 0.03,0.50 $\pm$ 0.02,0.50 $\pm$ 0.02,0.52 $\pm$ 0.02,0.53 $\pm$ 0.02,0.58 $\pm$ 0.02
LogisticRegression,0.45 $\pm$ 0.02,0.46 $\pm$ 0.02,0.45 $\pm$ 0.01,0.47 $\pm$ 0.02,0.49 $\pm$ 0.01,0.54 $\pm$ 0.01
LogisticRegressionElasticNet,0.46 $\pm$ 0.02,0.47 $\pm$ 0.01,0.47 $\pm$ 0.02,0.49 $\pm$ 0.02,0.52 $\pm$ 0.04,0.58 $\pm$ 0.01
LogisticRegressionLasso,0.45 $\pm$ 0.02,0.47 $\pm$ 0.02,0.47 $\pm$ 0.03,0.48 $\pm$ 0.03,0.49 $\pm$ 0.02,0.56 $\pm$ 0.01
LogisticRegressionRidge,0.45 $\pm$ 0.04,0.52 $\pm$ 0.03,0.52 $\pm$ 0.01,0.53 $\pm$ 0.03,0.54 $\pm$ 0.02,**0.60 $\pm$ 0.02**
Multi-label ARAM,0.27 $\pm$ 0.03,0.28 $\pm$ 0.10,0.20 $\pm$ 0.09,0.20 $\pm$ 0.06,0.26 $\pm$ 0.13,0.44 $\pm$ 0.01
Multilabel k Nearest Neighbours,0.36 $\pm$ 0.03,0.39 $\pm$ 0.05,0.38 $\pm$ 0.01,0.44 $\pm$ 0.04,0.42 $\pm$ 0.01,0.50 $\pm$ 0.01
NaiveBayes,0.50 $\pm$ 0.02,0.52 $\pm$ 0.02,0.52 $\pm$ 0.01,0.52 $\pm$ 0.02,0.55 $\pm$ 0.04,**0.60 $\pm$ 0.02**
RandomForest,0.33 $\pm$ 0.06,0.48 $\pm$ 0.02,0.49 $\pm$ 0.01,0.50 $\pm$ 0.00,0.51 $\pm$ 0.04,0.54 $\pm$ 0.01
RidgeClassifier,0.46 $\pm$ 0.01,0.42 $\pm$ 0.03,0.42 $\pm$ 0.02,0.47 $\pm$ 0.02,0.48 $\pm$ 0.04,0.55 $\pm$ 0.03
SVM,0.46 $\pm$ 0.03,0.51 $\pm$ 0.02,0.49 $\pm$ 0.00,0.50 $\pm$ 0.03,0.52 $\pm$ 0.01,0.57 $\pm$ 0.02
XGBoost,0.54 $\pm$ 0.03,0.55 $\pm$ 0.01,0.54 $\pm$ 0.01,0.54 $\pm$ 0.01,0.54 $\pm$ 0.02,0.58 $\pm$ 0.03
