model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.58 $\pm$ 0.00,0.63 $\pm$ 0.03,0.67 $\pm$ 0.02,0.66 $\pm$ 0.03,0.68 $\pm$ 0.02,0.70 $\pm$ 0.02
ComplementNB,0.60 $\pm$ 0.02,0.66 $\pm$ 0.01,0.69 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
KNN,0.57 $\pm$ 0.01,0.61 $\pm$ 0.00,0.62 $\pm$ 0.02,0.61 $\pm$ 0.02,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02
LinearSVM,0.58 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.01,0.65 $\pm$ 0.01,0.67 $\pm$ 0.02,0.68 $\pm$ 0.02
LogisticRegression,0.55 $\pm$ 0.01,0.61 $\pm$ 0.01,0.62 $\pm$ 0.02,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.01
LogisticRegressionElasticNet,0.56 $\pm$ 0.01,0.63 $\pm$ 0.02,0.62 $\pm$ 0.02,0.64 $\pm$ 0.03,0.65 $\pm$ 0.02,0.68 $\pm$ 0.02
LogisticRegressionLasso,0.54 $\pm$ 0.02,0.61 $\pm$ 0.01,0.62 $\pm$ 0.03,0.63 $\pm$ 0.01,0.63 $\pm$ 0.01,0.66 $\pm$ 0.01
LogisticRegressionRidge,0.59 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.02,0.65 $\pm$ 0.01,0.65 $\pm$ 0.02,0.68 $\pm$ 0.01
Multi-label ARAM,0.26 $\pm$ 0.10,0.26 $\pm$ 0.14,0.30 $\pm$ 0.02,0.31 $\pm$ 0.04,0.36 $\pm$ 0.02,0.32 $\pm$ 0.01
Multilabel k Nearest Neighbours,0.58 $\pm$ 0.03,0.65 $\pm$ 0.02,0.67 $\pm$ 0.01,0.67 $\pm$ 0.03,0.68 $\pm$ 0.03,0.69 $\pm$ 0.01
NaiveBayes,0.59 $\pm$ 0.02,0.67 $\pm$ 0.01,0.68 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
RandomForest,0.63 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.04,0.70 $\pm$ 0.01,0.70 $\pm$ 0.01,**0.71 $\pm$ 0.01**
RidgeClassifier,0.58 $\pm$ 0.01,0.67 $\pm$ 0.00,0.68 $\pm$ 0.01,0.68 $\pm$ 0.01,0.69 $\pm$ 0.02,0.69 $\pm$ 0.02
SVM,0.63 $\pm$ 0.00,0.69 $\pm$ 0.02,0.70 $\pm$ 0.02,0.70 $\pm$ 0.00,0.68 $\pm$ 0.01,**0.71 $\pm$ 0.01**
XGBoost,0.51 $\pm$ 0.01,0.57 $\pm$ 0.03,0.58 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.03,0.64 $\pm$ 0.01
