language,model_type,model_subtype,model_name,unit_of_analysis,run_uuid,runName,exp_id,train_recall_macro_std,train_recall_micro_mean,test_accuracy_mean,train_precision_micro_std,test_f1_macro_mean,test_recall_macro_std,test_recall_micro_std,test_recall_macro_mean,test_accuracy_std,test_f1_micro_mean,train_f1_micro_std,train_accuracy_std,train_f1_macro_mean,test_precision_macro_std,train_recall_micro_std,test_precision_micro_mean,test_precision_micro_std,train_f1_micro_mean,train_accuracy_mean,train_precision_macro_mean,test_recall_micro_mean,test_f1_macro_std,train_precision_macro_std,test_precision_macro_mean,train_recall_macro_mean,test_f1_micro_std,train_f1_macro_std,train_precision_micro_mean,min_df,multilabel_type,base_estimator_name,min_var,n_features,tfidf,corr_threshold,analysis_level,spacy_model_used,max_df,vectorizer_max_features,is_count_vectorizer,n_gram_range_start,n_gram_range_end
en,Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,raw_text,eae0cd7ce8034a849a4eec072e3a5c2c,calm-shrimp-930,807909438352974172,0.062891651747844,0.7391641341347452,0.1147130786014217,0.014059254094839,0.5055761440491235,0.0401879713182994,0.028214920484849,0.4641843533340581,0.0139593347600187,0.6414798353736346,0.0354567656113591,0.0408901911907351,0.682535431610138,0.0493439303068225,0.0463974784930225,0.698683260168197,0.0220293135719287,0.7761569512417671,0.2383105183872881,0.815616103918947,0.6163662748413609,0.0408500009917459,0.020094860525803,0.6310138966696256,0.6172219821599318,0.0279902900998086,0.05604274670668,0.8401914444874256,0.0183689078951513,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",0.0,496,True,0.9835017091546786,model_wide,en_core_web_sm,0.5077946773353201,542,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,title,d6e94ff67a734b35aade304a10301565,puzzled-smelt-532,273033574720674010,0.0319716126301996,0.6675774089504625,0.0485103960602114,0.0461862432871104,0.4020327594025206,0.0196567422661674,0.0282003991595549,0.3787231002341943,0.0188348582814001,0.543117452253684,0.0295664384207759,0.03168741406491,0.5702955164908898,0.0153760685136687,0.0090739409484926,0.5811360712980903,0.0028345492825066,0.6827263062080823,0.1584046463503169,0.7201544965245922,0.5389338442517136,0.0134891706618244,0.0768516494974047,0.4725107382931362,0.519106278634116,0.0108593442563261,0.0510089757190109,0.7485235765518755,0.0122100595868536,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",0.0,102,True,1.0,model_wide,en_core_web_sm,0.6924192928979804,847,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,title_and_10_sentences,30749bde81c543f5b55fb0a1e87f3517,fearless-sheep-113,355639059688649620,0.0687650616850884,0.7218559367305994,0.0796333519197427,0.039493397400227,0.4671370769377072,0.0100593889276368,0.0208854260760092,0.4407552427835953,0.0146967568163194,0.6194506343054152,0.0399655693562016,0.0406239056233346,0.6365164270430532,0.0447520933118643,0.0318228202613148,0.6578475539341659,0.0269369424310471,0.7553188870704548,0.211898244768991,0.7584371842109195,0.6090819378534156,0.0130590359964527,0.0852067790051183,0.5517980083078712,0.5769518296668744,0.015363276408391,0.0809954759119564,0.8189699856153325,0.0153350367389407,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",0.0,565,True,0.998420577869467,model_wide,en_core_web_sm,0.7477288327375895,600,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,title_and_5_sentences,bc7df99defa545f1af6ae7c1e565fa2d,persistent-crane-880,931662350433327692,0.0373592654517573,0.6932541973998649,0.0835429275795536,0.0151581669171153,0.4603175569994532,0.0283798585279411,0.034523102970813,0.4191555630478478,0.0275748012844319,0.610089738641403,0.0306658861409619,0.0539087145239029,0.6060554668529595,0.0283259734646856,0.0389015909373124,0.6709955809387087,0.0206676535340885,0.7363995083572675,0.1937793575130254,0.8040998282773556,0.5783516973035874,0.0270591010395409,0.0177739992146209,0.5654212313553809,0.539692860341638,0.0275121501145728,0.0326649753213141,0.831788603700352,0.004323430735563,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",0.0,501,True,0.997000692291258,model_wide,en_core_web_sm,0.4499401223803614,510,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,title_and_first_paragraph,9f4d22c6a2b34fb2a946e1a1e84b0255,polite-snail-777,100620624902858543,0.0479310209625495,0.7008957573583329,0.0641734894167499,0.0188218594693999,0.441983248766947,0.0292081484345715,0.0192019650504801,0.4155903462095492,0.0205997187917665,0.5896761812440894,0.0326437456701087,0.0379579783621814,0.5947453773286989,0.0368050966775605,0.038298454335264,0.6284540328553317,0.0289659942084626,0.7251162096820355,0.1868490271679169,0.7470904476284502,0.5759657902870962,0.0300614273893113,0.0397531160001405,0.5111559491171915,0.543240045919513,0.0181473255458801,0.0473307027029169,0.7932062451118681,0.008294590828075,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",0.0,294,True,1.0,model_wide,en_core_web_sm,0.7690768951860975,303,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,title_and_first_sentence_each_paragraph,670833a95f054c088232d1834cf02e98,unique-worm-40,792380573152177938,0.0827918786858256,0.7160730970575327,0.1031635871823241,0.0311366412758815,0.4770865299506917,0.015670222357749,0.0144450797587407,0.4371275997930466,0.0287047434303944,0.6251060166270426,0.0566774848492639,0.0494233158525522,0.6357551549812932,0.0319673715347221,0.0587268401183552,0.6801179634968638,0.0225200499451761,0.7519590264053216,0.2100658165026659,0.8101255425206167,0.6011718849433626,0.0085289348299724,0.0455558051946964,0.5813383550499308,0.5715295120734009,0.0136543329750277,0.0855171117574148,0.8330775092453311,0.0120018187101439,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",0.0,426,True,1.0,model_wide,en_core_web_sm,0.442844212691615,439,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,raw_text,cd39e8449ad44d4fab481e063786784c,sincere-kit-247,807909438352974172,0.0011532174703755,0.3724127502204908,0.0,0.0069824664557123,0.2052118426220529,0.0052186376235521,0.0061666945338544,0.3417325609878492,0.0,0.2701090714432497,0.0034833076042921,0.0,0.198550736645566,0.0113717302616443,0.0031772133803215,0.2667895162076418,0.0192387989978236,0.2636165723333935,0.0,0.1900268850304383,0.3775908880161457,0.0092877684132994,0.0040659761985309,0.1932468303079988,0.3373500664633669,0.013709033064488,0.0007459499203742,0.2637630195835806,0.0008404885388516,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNbClassifier())])",0.0,293,True,0.986713249946218,model_wide,en_core_web_sm,0.5756639694677302,294,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,title,462b6614cd534f6583aeace0cacf14db,shivering-wren-243,456567287053030769,0.0063050207337106,0.3862513071323528,0.0,0.0601218869765639,0.1925639728921117,0.0114678201892879,0.0020089106655381,0.328395732248536,0.0,0.2704249436668782,0.0042905472716237,0.0,0.1978060937003564,0.0307985729453763,0.0109865970360752,0.2758771881682356,0.05513008428892,0.2699531013724578,0.0,0.1881690281584283,0.3879577355951926,0.0035929098505508,0.0286814794085124,0.1846264816785135,0.3315672546049396,0.0060873465645274,0.0057128139962271,0.2741897364226858,0.0145893171844789,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNbClassifier())])",0.0,82,True,1.0,model_wide,en_core_web_sm,0.6471156490730816,561,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,title_and_10_sentences,c738184ec1bc4b468be604eaa63eee23,shivering-kite-518,956033716579179798,0.0034259719196224,0.3879767714726791,0.0,0.004563163885865,0.2105382119648141,0.0083404008953338,0.0121594549408637,0.3347327495690289,0.0,0.2829221410229468,0.0085315449896956,0.0,0.2107891933192378,0.0074958792013565,0.0095970097229201,0.2641896014745182,0.0063598490045673,0.2812607503621742,0.0,0.192716560333,0.3869545582646957,0.0049741493328476,0.0082686395087225,0.1931473561358073,0.3424654574473467,0.0065655570999386,0.0035811931903798,0.2621553034293439,0.0052316916297964,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNbClassifier())])",0.0,884,True,0.990674096957008,model_wide,en_core_web_sm,0.6093179670235225,942,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,title_and_5_sentences,f28298a5d3e94a719f110006a9be12bf,rogue-robin-884,840356688776609266,0.0128313959529838,0.3800453660688214,0.0,0.0029406266724751,0.204708771880136,0.019366644686027,0.0094929049344649,0.3372739058916978,0.0,0.2688034976894869,0.0040178556660776,0.0,0.2078365383045795,0.0190600832680109,0.0092473204951448,0.2505152755707993,0.0149613850237832,0.2684861777268562,0.0,0.1929485146962395,0.3785617920325824,0.0155069796696142,0.0021483478919661,0.1841379503369814,0.3506452811009461,0.0078166424165743,0.0049527940657522,0.2598650429738708,0.01,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNbClassifier())])",0.0,1320,True,1.0,model_wide,en_core_web_sm,0.675,10000,False,1,3
