model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.23 $\pm$ 0.02,0.24 $\pm$ 0.01,0.32 $\pm$ 0.01,0.33 $\pm$ 0.04,0.33 $\pm$ 0.01,0.33 $\pm$ 0.04
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.12 $\pm$ 0.02,0.13 $\pm$ 0.01,0.13 $\pm$ 0.02,0.12 $\pm$ 0.02,0.13 $\pm$ 0.01,0.14 $\pm$ 0.01
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.36 $\pm$ 0.03,0.41 $\pm$ 0.02,0.43 $\pm$ 0.01,0.49 $\pm$ 0.03,0.48 $\pm$ 0.02,0.51 $\pm$ 0.01
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.35 $\pm$ 0.00,0.37 $\pm$ 0.01,0.40 $\pm$ 0.01,0.43 $\pm$ 0.01,0.43 $\pm$ 0.01,0.45 $\pm$ 0.02
KNN,No Upsampling,kNN,0.30 $\pm$ 0.03,0.30 $\pm$ 0.03,0.37 $\pm$ 0.01,0.36 $\pm$ 0.02,0.38 $\pm$ 0.04,0.42 $\pm$ 0.02
KNN,Random Oversampling,kNN_ROS,0.36 $\pm$ 0.01,0.36 $\pm$ 0.01,0.40 $\pm$ 0.01,0.43 $\pm$ 0.01,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01
KNN,SMOTE,kNN_SMOTE,0.36 $\pm$ 0.02,0.35 $\pm$ 0.01,0.40 $\pm$ 0.02,0.43 $\pm$ 0.01,0.44 $\pm$ 0.01,0.44 $\pm$ 0.01
KNN,SVMSMOTE,kNN_SVMSMOTE,0.35 $\pm$ 0.01,0.28 $\pm$ 0.12,0.39 $\pm$ 0.02,0.43 $\pm$ 0.01,0.43 $\pm$ 0.02,0.46 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.35 $\pm$ 0.02,0.39 $\pm$ 0.01,0.44 $\pm$ 0.01,0.46 $\pm$ 0.02,0.45 $\pm$ 0.01,0.47 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.37 $\pm$ 0.00,0.39 $\pm$ 0.01,0.43 $\pm$ 0.00,0.45 $\pm$ 0.02,0.46 $\pm$ 0.01,0.48 $\pm$ 0.01
