model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.39 $\pm$ 0.04,0.32 $\pm$ 0.02,0.39 $\pm$ 0.08,0.51 $\pm$ 0.03,0.56 $\pm$ 0.03,0.59 $\pm$ 0.04
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.28 $\pm$ 0.05,0.27 $\pm$ 0.06,0.26 $\pm$ 0.02,0.31 $\pm$ 0.05,0.33 $\pm$ 0.08,0.35 $\pm$ 0.01
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.48 $\pm$ 0.03,0.52 $\pm$ 0.02,0.56 $\pm$ 0.02,0.60 $\pm$ 0.04,0.60 $\pm$ 0.04,0.61 $\pm$ 0.05
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.50 $\pm$ 0.04,0.48 $\pm$ 0.03,0.50 $\pm$ 0.02,0.54 $\pm$ 0.03,0.54 $\pm$ 0.04,0.54 $\pm$ 0.02
KNN,No Upsampling,kNN,0.48 $\pm$ 0.07,0.51 $\pm$ 0.05,0.53 $\pm$ 0.03,0.58 $\pm$ 0.04,0.57 $\pm$ 0.06,0.59 $\pm$ 0.06
KNN,Random Oversampling,kNN_ROS,0.48 $\pm$ 0.04,0.49 $\pm$ 0.04,0.52 $\pm$ 0.02,0.53 $\pm$ 0.03,0.53 $\pm$ 0.02,0.53 $\pm$ 0.03
KNN,SMOTE,kNN_SMOTE,0.48 $\pm$ 0.02,0.49 $\pm$ 0.04,0.52 $\pm$ 0.02,0.54 $\pm$ 0.04,0.52 $\pm$ 0.02,0.55 $\pm$ 0.02
KNN,SVMSMOTE,kNN_SVMSMOTE,0.50 $\pm$ 0.03,0.52 $\pm$ 0.04,0.54 $\pm$ 0.03,0.55 $\pm$ 0.03,0.55 $\pm$ 0.04,0.55 $\pm$ 0.02
LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.48 $\pm$ 0.03,0.52 $\pm$ 0.03,0.54 $\pm$ 0.02,0.57 $\pm$ 0.04,0.55 $\pm$ 0.04,0.58 $\pm$ 0.06
LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.48 $\pm$ 0.03,0.51 $\pm$ 0.04,0.54 $\pm$ 0.02,0.57 $\pm$ 0.05,0.54 $\pm$ 0.03,0.56 $\pm$ 0.03
