model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.05 $\pm$ 0.02,0.06 $\pm$ 0.02,0.08 $\pm$ 0.03,0.08 $\pm$ 0.01,0.10 $\pm$ 0.03,**0.11 $\pm$ 0.01**
ComplementNB,RakelD Partitioning of labels,0.05 $\pm$ 0.02,0.05 $\pm$ 0.01,0.08 $\pm$ 0.02,0.05 $\pm$ 0.02,0.06 $\pm$ 0.02,0.04 $\pm$ 0.02
KNN,BorderlineSMOTE,0.02 $\pm$ 0.01,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01
KNN,No Upsampling,0.06 $\pm$ 0.03,0.05 $\pm$ 0.00,0.08 $\pm$ 0.01,0.10 $\pm$ 0.01,**0.11 $\pm$ 0.03**,0.10 $\pm$ 0.03
KNN,Random Oversampling,0.01 $\pm$ 0.01,0.01 $\pm$ 0.00,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.00,0.02 $\pm$ 0.01
KNN,SMOTE,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01
KNN,SVMSMOTE,0.04 $\pm$ 0.01,0.03 $\pm$ 0.00,0.03 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,0.01 $\pm$ 0.00,0.04 $\pm$ 0.02,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01,0.03 $\pm$ 0.01
LinearSVM,No Upsampling,0.01 $\pm$ 0.00,0.04 $\pm$ 0.02,0.04 $\pm$ 0.00,0.05 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01
LinearSVM,RakelD Partitioning of labels,0.01 $\pm$ 0.01,0.04 $\pm$ 0.02,0.03 $\pm$ 0.00,0.05 $\pm$ 0.01,0.04 $\pm$ 0.01,0.06 $\pm$ 0.01
LinearSVM,Random Oversampling,0.01 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01,0.06 $\pm$ 0.01,0.05 $\pm$ 0.01,0.05 $\pm$ 0.01
LinearSVM,SMOTE,0.01 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.00,0.03 $\pm$ 0.00,0.04 $\pm$ 0.01,0.04 $\pm$ 0.02
LogisticRegression,BorderlineSMOTE,0.02 $\pm$ 0.01,0.03 $\pm$ 0.00,0.04 $\pm$ 0.01,0.03 $\pm$ 0.01,0.06 $\pm$ 0.01,0.06 $\pm$ 0.01
LogisticRegression,No Upsampling,0.02 $\pm$ 0.00,0.05 $\pm$ 0.01,0.06 $\pm$ 0.01,0.06 $\pm$ 0.03,0.09 $\pm$ 0.02,0.08 $\pm$ 0.01
LogisticRegression,Random Oversampling,0.01 $\pm$ 0.01,0.04 $\pm$ 0.01,0.06 $\pm$ 0.01,0.07 $\pm$ 0.02,0.08 $\pm$ 0.02,0.09 $\pm$ 0.01
LogisticRegression,SMOTE,0.02 $\pm$ 0.01,0.05 $\pm$ 0.01,0.06 $\pm$ 0.01,0.06 $\pm$ 0.02,0.09 $\pm$ 0.01,0.08 $\pm$ 0.01
