model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.37 $\pm$ 0.09,0.37 $\pm$ 0.03,0.37 $\pm$ 0.01,0.39 $\pm$ 0.07,0.47 $\pm$ 0.02,0.53 $\pm$ 0.03
ComplementNB,0.49 $\pm$ 0.02,0.55 $\pm$ 0.02,0.58 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.03,0.64 $\pm$ 0.02
KNN,0.52 $\pm$ 0.00,0.52 $\pm$ 0.03,0.53 $\pm$ 0.01,0.58 $\pm$ 0.02,0.63 $\pm$ 0.03,0.64 $\pm$ 0.02
LinearSVM,0.50 $\pm$ 0.02,0.54 $\pm$ 0.03,0.56 $\pm$ 0.02,0.61 $\pm$ 0.03,0.63 $\pm$ 0.03,**0.66 $\pm$ 0.03**
LogisticRegression,0.50 $\pm$ 0.02,0.51 $\pm$ 0.03,0.52 $\pm$ 0.00,0.58 $\pm$ 0.02,0.60 $\pm$ 0.02,0.62 $\pm$ 0.03
LogisticRegressionElasticNet,0.49 $\pm$ 0.01,0.53 $\pm$ 0.02,0.55 $\pm$ 0.02,0.57 $\pm$ 0.01,0.60 $\pm$ 0.02,0.63 $\pm$ 0.03
LogisticRegressionLasso,0.49 $\pm$ 0.03,0.52 $\pm$ 0.02,0.53 $\pm$ 0.03,0.55 $\pm$ 0.02,0.58 $\pm$ 0.01,0.62 $\pm$ 0.02
LogisticRegressionRidge,0.51 $\pm$ 0.02,0.57 $\pm$ 0.02,0.59 $\pm$ 0.01,0.62 $\pm$ 0.02,0.63 $\pm$ 0.03,**0.66 $\pm$ 0.03**
Multi-label ARAM,0.35 $\pm$ 0.19,0.30 $\pm$ 0.08,0.36 $\pm$ 0.07,0.27 $\pm$ 0.04,0.49 $\pm$ 0.06,0.48 $\pm$ 0.03
Multilabel k Nearest Neighbours,0.48 $\pm$ 0.04,0.45 $\pm$ 0.01,0.52 $\pm$ 0.02,0.52 $\pm$ 0.03,0.56 $\pm$ 0.02,0.57 $\pm$ 0.02
NaiveBayes,0.51 $\pm$ 0.02,0.57 $\pm$ 0.01,0.59 $\pm$ 0.01,0.63 $\pm$ 0.02,0.64 $\pm$ 0.03,0.65 $\pm$ 0.01
RandomForest,0.41 $\pm$ 0.02,0.53 $\pm$ 0.02,0.52 $\pm$ 0.01,0.56 $\pm$ 0.02,0.58 $\pm$ 0.02,0.64 $\pm$ 0.04
RidgeClassifier,0.49 $\pm$ 0.02,0.50 $\pm$ 0.04,0.51 $\pm$ 0.01,0.56 $\pm$ 0.02,0.62 $\pm$ 0.02,0.65 $\pm$ 0.02
SVM,0.50 $\pm$ 0.02,0.55 $\pm$ 0.01,0.57 $\pm$ 0.01,0.61 $\pm$ 0.01,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02
XGBoost,0.58 $\pm$ 0.02,0.59 $\pm$ 0.03,0.59 $\pm$ 0.02,0.60 $\pm$ 0.03,0.61 $\pm$ 0.00,0.65 $\pm$ 0.01
