language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,0.54 $\pm$ 0.01,0.59 $\pm$ 0.02,0.61 $\pm$ 0.03,0.62 $\pm$ 0.02,0.63 $\pm$ 0.01,0.64 $\pm$ 0.03
en,ComplementNB,0.60 $\pm$ 0.01,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,KNN,0.59 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.01,0.66 $\pm$ 0.01,0.67 $\pm$ 0.01
en,LinearSVM,0.60 $\pm$ 0.00,0.65 $\pm$ 0.00,0.66 $\pm$ 0.02,0.68 $\pm$ 0.01,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,LogisticRegression,0.55 $\pm$ 0.01,0.60 $\pm$ 0.02,0.60 $\pm$ 0.02,0.62 $\pm$ 0.01,0.65 $\pm$ 0.01,0.66 $\pm$ 0.01
en,LogisticRegressionElasticNet,0.57 $\pm$ 0.01,0.62 $\pm$ 0.02,0.63 $\pm$ 0.01,0.64 $\pm$ 0.03,0.66 $\pm$ 0.01,0.67 $\pm$ 0.00
en,LogisticRegressionLasso,0.55 $\pm$ 0.00,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02,0.64 $\pm$ 0.02,0.64 $\pm$ 0.01,0.67 $\pm$ 0.01
en,LogisticRegressionRidge,0.62 $\pm$ 0.01,0.67 $\pm$ 0.01,0.68 $\pm$ 0.01,0.68 $\pm$ 0.02,**0.69 $\pm$ 0.01**,**0.69 $\pm$ 0.02**
en,Multi-label ARAM,0.35 $\pm$ 0.13,0.26 $\pm$ 0.13,0.38 $\pm$ 0.03,0.40 $\pm$ 0.04,0.43 $\pm$ 0.01,0.37 $\pm$ 0.02
en,Multilabel k Nearest Neighbours,0.55 $\pm$ 0.00,0.63 $\pm$ 0.01,0.64 $\pm$ 0.02,0.62 $\pm$ 0.01,0.65 $\pm$ 0.01,0.64 $\pm$ 0.01
en,NaiveBayes,0.61 $\pm$ 0.01,0.66 $\pm$ 0.01,0.68 $\pm$ 0.02,0.68 $\pm$ 0.02,**0.69 $\pm$ 0.01**,**0.69 $\pm$ 0.01**
en,RandomForest,0.50 $\pm$ 0.05,0.60 $\pm$ 0.03,0.63 $\pm$ 0.03,0.65 $\pm$ 0.01,0.67 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,RidgeClassifier,0.59 $\pm$ 0.01,0.63 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.02,**0.69 $\pm$ 0.02**
en,SVM,0.61 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01,**0.69 $\pm$ 0.01**
en,XGBoost,0.60 $\pm$ 0.01,0.63 $\pm$ 0.02,0.64 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.01
fr,Binary Relevance kNN,0.26 $\pm$ 0.02,0.30 $\pm$ 0.02,0.31 $\pm$ 0.03,0.36 $\pm$ 0.02,0.30 $\pm$ 0.01,0.37 $\pm$ 0.01
fr,ComplementNB,0.44 $\pm$ 0.01,0.45 $\pm$ 0.04,0.49 $\pm$ 0.03,0.49 $\pm$ 0.03,0.50 $\pm$ 0.01,0.55 $\pm$ 0.04
fr,KNN,0.45 $\pm$ 0.01,0.42 $\pm$ 0.02,0.44 $\pm$ 0.02,0.47 $\pm$ 0.03,0.47 $\pm$ 0.01,0.51 $\pm$ 0.01
fr,LinearSVM,0.43 $\pm$ 0.03,0.43 $\pm$ 0.02,0.48 $\pm$ 0.01,0.48 $\pm$ 0.03,0.50 $\pm$ 0.01,0.53 $\pm$ 0.02
fr,LogisticRegression,0.41 $\pm$ 0.01,0.38 $\pm$ 0.03,0.40 $\pm$ 0.02,0.41 $\pm$ 0.03,0.45 $\pm$ 0.03,0.49 $\pm$ 0.01
