model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.54 $\pm$ 0.03,0.58 $\pm$ 0.02,0.58 $\pm$ 0.03,0.61 $\pm$ 0.02,0.60 $\pm$ 0.01,0.62 $\pm$ 0.03
ComplementNB,0.61 $\pm$ 0.00,0.66 $\pm$ 0.03,0.65 $\pm$ 0.02,0.68 $\pm$ 0.02,0.71 $\pm$ 0.01,0.72 $\pm$ 0.01
KNN,0.66 $\pm$ 0.01,0.66 $\pm$ 0.03,0.68 $\pm$ 0.03,0.72 $\pm$ 0.02,0.75 $\pm$ 0.02,**0.76 $\pm$ 0.01**
LinearSVM,0.65 $\pm$ 0.01,0.68 $\pm$ 0.02,0.70 $\pm$ 0.04,0.71 $\pm$ 0.02,0.71 $\pm$ 0.02,0.71 $\pm$ 0.02
LogisticRegression,0.57 $\pm$ 0.03,0.59 $\pm$ 0.03,0.60 $\pm$ 0.02,0.64 $\pm$ 0.02,0.66 $\pm$ 0.02,0.67 $\pm$ 0.01
LogisticRegressionElasticNet,0.59 $\pm$ 0.02,0.62 $\pm$ 0.03,0.63 $\pm$ 0.01,0.66 $\pm$ 0.03,0.67 $\pm$ 0.01,0.68 $\pm$ 0.02
LogisticRegressionLasso,0.58 $\pm$ 0.02,0.62 $\pm$ 0.03,0.65 $\pm$ 0.02,0.66 $\pm$ 0.02,0.66 $\pm$ 0.02,0.70 $\pm$ 0.02
LogisticRegressionRidge,0.69 $\pm$ 0.01,0.72 $\pm$ 0.02,0.73 $\pm$ 0.03,0.72 $\pm$ 0.03,**0.76 $\pm$ 0.01**,0.72 $\pm$ 0.02
Multi-label ARAM,0.58 $\pm$ 0.22,0.31 $\pm$ 0.14,0.53 $\pm$ 0.07,0.59 $\pm$ 0.06,0.63 $\pm$ 0.08,0.48 $\pm$ 0.05
Multilabel k Nearest Neighbours,0.56 $\pm$ 0.01,0.61 $\pm$ 0.01,0.63 $\pm$ 0.03,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02,0.62 $\pm$ 0.03
NaiveBayes,0.63 $\pm$ 0.00,0.67 $\pm$ 0.01,0.69 $\pm$ 0.02,0.70 $\pm$ 0.02,0.71 $\pm$ 0.00,0.72 $\pm$ 0.01
RandomForest,0.50 $\pm$ 0.02,0.61 $\pm$ 0.05,0.62 $\pm$ 0.03,0.62 $\pm$ 0.01,0.65 $\pm$ 0.02,0.68 $\pm$ 0.02
RidgeClassifier,0.62 $\pm$ 0.01,0.61 $\pm$ 0.02,0.64 $\pm$ 0.03,0.66 $\pm$ 0.02,0.68 $\pm$ 0.02,0.69 $\pm$ 0.03
SVM,0.61 $\pm$ 0.02,0.63 $\pm$ 0.03,0.66 $\pm$ 0.04,0.67 $\pm$ 0.03,0.69 $\pm$ 0.01,0.69 $\pm$ 0.02
XGBoost,**0.76 $\pm$ 0.01**,0.71 $\pm$ 0.02,0.72 $\pm$ 0.03,0.71 $\pm$ 0.02,0.72 $\pm$ 0.03,0.75 $\pm$ 0.02
