model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.50 $\pm$ 0.17,0.47 $\pm$ 0.07,0.46 $\pm$ 0.07,0.37 $\pm$ 0.06,0.46 $\pm$ 0.04,0.54 $\pm$ 0.04
ComplementNB,0.56 $\pm$ 0.02,0.61 $\pm$ 0.04,0.62 $\pm$ 0.03,0.66 $\pm$ 0.01,0.69 $\pm$ 0.01,0.70 $\pm$ 0.01
KNN,0.63 $\pm$ 0.02,0.59 $\pm$ 0.03,0.57 $\pm$ 0.01,0.68 $\pm$ 0.02,0.77 $\pm$ 0.05,0.82 $\pm$ 0.02
LinearSVM,0.52 $\pm$ 0.02,0.62 $\pm$ 0.04,0.61 $\pm$ 0.01,0.69 $\pm$ 0.01,0.80 $\pm$ 0.02,0.80 $\pm$ 0.05
LogisticRegression,0.51 $\pm$ 0.02,0.53 $\pm$ 0.03,0.51 $\pm$ 0.00,0.59 $\pm$ 0.02,0.63 $\pm$ 0.02,0.72 $\pm$ 0.01
LogisticRegressionElasticNet,0.50 $\pm$ 0.01,0.54 $\pm$ 0.01,0.55 $\pm$ 0.02,0.60 $\pm$ 0.00,0.65 $\pm$ 0.03,0.72 $\pm$ 0.03
LogisticRegressionLasso,0.53 $\pm$ 0.02,0.51 $\pm$ 0.02,0.54 $\pm$ 0.02,0.56 $\pm$ 0.01,0.62 $\pm$ 0.02,0.67 $\pm$ 0.01
LogisticRegressionRidge,0.53 $\pm$ 0.01,0.63 $\pm$ 0.02,0.63 $\pm$ 0.00,0.71 $\pm$ 0.01,0.80 $\pm$ 0.01,0.85 $\pm$ 0.01
Multi-label ARAM,0.49 $\pm$ 0.27,0.42 $\pm$ 0.03,0.49 $\pm$ 0.15,0.31 $\pm$ 0.06,0.65 $\pm$ 0.13,0.75 $\pm$ 0.08
Multilabel k Nearest Neighbours,0.52 $\pm$ 0.04,0.46 $\pm$ 0.01,0.55 $\pm$ 0.03,0.52 $\pm$ 0.06,0.55 $\pm$ 0.04,0.58 $\pm$ 0.02
NaiveBayes,0.57 $\pm$ 0.02,0.61 $\pm$ 0.01,0.62 $\pm$ 0.01,0.66 $\pm$ 0.01,0.69 $\pm$ 0.02,0.75 $\pm$ 0.01
RandomForest,0.47 $\pm$ 0.04,0.62 $\pm$ 0.06,0.56 $\pm$ 0.02,0.56 $\pm$ 0.00,0.56 $\pm$ 0.05,0.61 $\pm$ 0.04
RidgeClassifier,0.52 $\pm$ 0.03,0.50 $\pm$ 0.04,0.49 $\pm$ 0.01,0.54 $\pm$ 0.02,0.62 $\pm$ 0.01,0.66 $\pm$ 0.02
SVM,0.53 $\pm$ 0.01,0.59 $\pm$ 0.01,0.59 $\pm$ 0.04,0.63 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.02
XGBoost,**0.93 $\pm$ 0.02**,0.90 $\pm$ 0.04,0.86 $\pm$ 0.07,0.73 $\pm$ 0.03,0.74 $\pm$ 0.01,0.75 $\pm$ 0.03
